instfname;seed;n;n_;p_;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/gcut2";1;20;20;3.787878787878788;6.551314115524292;;1116612;2262017;28793;20;1116592;;;
"./instances/gcut3";1;30;30;3.9682539682539684;11.053532123565674;;2005088;4042857;32681;30;2005058;;;
"./instances/gcut4";1;50;50;4.032258064516129;16.961838006973267;;3057864;6150904;35176;50;3057814;;;
"./instances/gcut5";1;10;10;3.787878787878788;1.8224718570709229;;250871;527078;25336;10;250861;;;
"./instances/gcut6";1;20;20;3.787878787878788;10.2846040725708;;1719475;3513747;74797;20;1719455;;;
"./instances/gcut7";1;30;30;3.875968992248062;27.462117910385132;;4919688;9940176;100800;30;4919658;;;
"./instances/gcut8";1;50;50;3.937007874015748;100.21769690513611;;16563780;33264084;136524;50;16563730;;;
"./instances/gcut9";1;10;10;3.4246575342465753;4.411731004714966;;475444;989824;38936;10;475434;;;
"./instances/gcut10";1;20;20;3.8461538461538463;15.369335174560547;;2627684;5393430;138062;20;2627664;;;
"./instances/gcut11";1;30;30;3.7593984962406015;236.3555030822754;;33083595;66567260;400070;30;33083565;;;
"./instances/gcut12";1;50;50;3.937007874015748;596.6806230545044;;66600979;133691386;489428;50;66600929;;;
"./instances/STS4";1;20;50;7.071428571428571;12.694021940231323;;419584;846412;7224;20;419564;;;
"./instances/STS4s";1;20;50;7.071428571428571;2.909198045730591;;419584;846412;7224;20;419564;;;
"./instances/A5";1;20;45;10.153846153846153;3.6157591342926025;;572908;1156238;10402;20;572888;;;
"./instances/Hchl2";1;35;75;7.222222222222222;5.893111944198608;;1037109;2086847;12594;35;1037074;;;
"./instances/Hchl3s";1;10;51;8.466666666666667;3.7834579944610596;;639385;1288450;9670;10;639375;;;
"./instances/Hchl4s";1;10;32;8.466666666666667;3.8933799266815186;;638851;1287382;9670;10;638841;;;
"./instances/Hchl6s";1;22;60;7.228571428571429;31.37639284133911;;5251480;10547575;44593;22;5251458;;;
"./instances/Hchl7s";1;40;90;7.96969696969697;40.77362418174744;;6813484;13673499;46491;40;6813444;;;
"./instances/CW1";1;25;67;5.0;3.4400618076324463;;446771;901974;8407;25;446746;;;
"./instances/CW2";1;35;63;4.852941176470588;5.318029165267944;;934685;1884069;14664;35;934650;;;
"./instances/CW3";1;40;96;4.6;17.02899694442749;;2966869;5967002;33224;40;2966829;;;
"./instances/CHL1";1;30;63;10.153846153846153;4.432224988937378;;687056;1384544;10402;30;687026;;;
"./instances/CHL1s";1;30;63;10.153846153846153;4.0055320262908936;;687056;1384544;10402;30;687026;;;
"./instances/CHL6";1;30;65;10.833333333333334;6.2843239307403564;;1037867;2088934;13170;30;1037837;;;
"./instances/CHL7";1;35;75;7.222222222222222;5.634630918502808;;1043701;2100031;12594;35;1043666;;;
"./instances/CU1";1;25;82;5.0;1.6710429191589355;;354689;717103;7700;25;354664;;;
"./instances/CU2";1;35;90;5.0;5.439188003540039;;1010246;2036595;16068;35;1010211;;;
"./instances/okp1";1;15;50;100.0;1.4743599891662598;;300832;609626;7947;15;300817;;;
"./instances/okp2";1;30;30;100.0;2.3504738807678223;;364558;738622;9506;30;364528;;;
"./instances/okp3";1;30;30;33.333333333333336;1.732038974761963;;301051;610458;8356;30;301021;;;
"./instances/okp4";1;33;61;100.0;2.184095859527588;;369903;748888;9049;33;369870;;;
"./instances/okp5";1;29;97;100.0;2.8130459785461426;;491825;993185;9506;29;491796;;;
"./instances/P1_100_200_25_1";1;25;127;16.666666666666668;9.103107929229736;;1634838;3287297;17596;25;1634813;;;
"./instances/P1_100_200_25_2";1;25;124;20.0;11.070486068725586;;1806805;3631575;17940;25;1806780;;;
"./instances/P1_100_200_25_3";1;25;120;16.666666666666668;11.465932846069336;;1867153;3752132;17801;25;1867128;;;
"./instances/P1_100_200_25_4";1;25;150;16.666666666666668;10.042613983154297;;1747825;3513155;17480;25;1747800;;;
"./instances/P1_100_200_25_5";1;25;98;20.0;11.137137174606323;;1837787;3693622;18023;25;1837762;;;
