instfname;seed;n;n_;p_;time_to_enumerate_plates;time_to_solver_build;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/gcut2";10;20;20;3.787878787878788;0.020267009735107422;0.025558948516845703;0.08679604530334473;0.327051326;6168;9522;1350;4184;1984;59307.0;59307.0;1
"./instances/gcut3";10;30;30;3.9682539682539684;0.03897285461425781;0.0739138126373291;0.13500213623046875;0.832681359;15884;22736;2542;11604;4280;60241.0;60241.0;1
"./instances/gcut4";10;50;50;4.032258064516129;0.24178194999694824;0.25244808197021484;0.49800896644592285;6.701150763;61004;84358;6187;43887;17117;60942.0;60942.0;1
"./instances/gcut5";10;10;10;3.787878787878788;0.019870996475219727;0.005780935287475586;0.04667019844055176;0.197931802;1037;1840;364;608;429;195582.0;195582.0;1
"./instances/gcut6";10;20;20;3.787878787878788;0.002827167510986328;0.00990605354309082;0.017384052276611328;0.076985054;2154;3367;596;1557;597;236305.0;236305.0;1
"./instances/gcut7";10;30;30;3.875968992248062;0.017215967178344727;0.028133153915405273;0.04988598823547363;0.296882424;7635;10612;1467;6155;1480;238974.0;238974.0;1
"./instances/gcut8";10;50;50;3.937007874015748;0.11126399040222168;0.5325992107391357;0.6475949287414551;4.783729462;79697;107811;9097;60730;18967;245758.0;245758.0;1
"./instances/gcut9";10;10;10;3.4246575342465753;0.003951072692871094;0.01221609115600586;0.04075288772583008;0.118133818;1804;2748;445;1315;489;919476.0;919476.0;1
"./instances/gcut10";10;20;20;3.8461538461538463;0.011415958404541016;0.009285926818847656;0.0254209041595459;0.114685821;2303;3365;554;1815;488;903435.0;903435.0;1
"./instances/gcut11";10;30;30;3.7593984962406015;0.039659976959228516;0.11417508125305176;0.15850591659545898;2.007954487;26880;37528;4244;20506;6374;955389.0;955389.0;1
"./instances/gcut12";10;50;50;3.937007874015748;0.11270594596862793;0.2842268943786621;0.42078399658203125;3.782835167;61065;79714;8146;50612;10453;970744.0;970744.0;1
"./instances/STS4";10;20;50;7.071428571428571;0.029508113861083984;0.43236684799194336;0.48564910888671875;25.508336362;50093;104226;4020;4452;45641;9700.0;9700.0;1
"./instances/STS4s";10;20;50;7.071428571428571;0.033329010009765625;0.24010014533996582;0.29706907272338867;23.917029503;50093;104226;4020;4452;45641;9770.0;9770.0;1
"./instances/A5";10;20;45;10.153846153846153;0.03349900245666504;0.27669501304626465;0.3359849452972412;40.583265497;57234;119944;5456;4570;52664;12985.0;12985.0;1
"./instances/Hchl2";10;35;75;7.222222222222222;0.07471609115600586;0.9481139183044434;1.0477519035339355;208.930935723;151269;310254;7681;12895;138374;9954.0;9954.0;1
"./instances/Hchl3s";10;10;51;8.466666666666667;0.03954792022705078;0.41770505905151367;0.4827241897583008;216.107426027;81510;168742;5712;2080;79430;12215.0;12215.0;1
"./instances/Hchl4s";10;10;32;8.466666666666667;0.03586316108703613;0.6062731742858887;0.6642389297485352;3600.032296179;81510;168742;5712;2080;79430;11976.0;12239.0;12
"./instances/Hchl6s";10;22;60;7.228571428571429;0.21846985816955566;1.515944004058838;1.7599329948425293;732.563158529;241834;502060;18370;36175;205659;61040.0;61040.0;1
"./instances/Hchl7s";10;40;90;7.96969696969697;0.5467729568481445;3.9028358459472656;4.473331928253174;3057.864671763;644934;1315147;25239;61461;583473;63112.0;63112.0;1
"./instances/CW1";10;25;67;5.0;0.03193497657775879;0.14020013809204102;0.19622015953063965;8.151116243;26733;56841;3350;10603;16130;6402.0;6402.0;1
"./instances/CW2";10;35;63;4.852941176470588;0.05064702033996582;0.17088699340820312;0.24602317810058594;9.123998224;33385;70950;4145;19610;13775;5354.0;5354.0;1
"./instances/CW3";10;40;96;4.6;0.10517382621765137;0.43033695220947266;0.5602419376373291;35.869287147;84185;177123;8713;53818;30367;5689.0;5689.0;1
"./instances/CHL1";10;30;63;10.153846153846153;0.05688619613647461;0.8158102035522461;0.896716833114624;162.658421621;109791;226168;6556;7222;102569;8699.0;8699.0;1
"./instances/CHL1s";10;30;63;10.153846153846153;0.0523989200592041;0.5555109977722168;0.632296085357666;74.075672032;109791;226168;6556;7222;102569;13099.0;13099.0;1
"./instances/CHL6";10;30;65;10.833333333333334;0.16543889045715332;0.91634202003479;1.1039700508117676;106.84878784;160128;328473;8187;9767;150361;16869.0;16869.0;1
"./instances/CHL7";10;35;75;7.222222222222222;0.15355491638183594;0.8554010391235352;1.033818006515503;97.463965512;153671;315058;7681;12895;140776;16881.0;16881.0;1
