instfname;seed;n;n_;p_;time_to_enumerate_plates;time_to_solver_build;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/gcut2";10;20;20;3.787878787878788;0.0029180049896240234;0.02587580680847168;0.07068300247192383;0.326757365;6168;9522;1350;4184;1984;59307.0;59307.0;1
"./instances/gcut3";10;30;30;3.9682539682539684;0.0173189640045166;0.11046004295349121;0.14980316162109375;0.83029925;15884;22736;2542;11604;4280;60241.0;60241.0;1
"./instances/gcut4";10;50;50;4.032258064516129;0.013907909393310547;0.37918901443481445;0.41788196563720703;6.639076667;61004;84358;6187;43887;17117;60942.0;60942.0;1
"./instances/gcut5";10;10;10;3.787878787878788;0.0014240741729736328;0.01300811767578125;0.038839101791381836;0.194889642;1037;1840;364;608;429;195582.0;195582.0;1
"./instances/gcut6";10;20;20;3.787878787878788;0.00152587890625;0.009799957275390625;0.01582193374633789;0.077196934;2154;3367;596;1557;597;236305.0;236305.0;1
"./instances/gcut7";10;30;30;3.875968992248062;0.0026259422302246094;0.03357100486755371;0.04060721397399902;0.296866505;7635;10612;1467;6155;1480;238974.0;238974.0;1
"./instances/gcut8";10;50;50;3.937007874015748;0.014240026473999023;0.3516571521759033;0.3695211410522461;4.779866969;79697;107811;9097;60730;18967;245758.0;245758.0;1
"./instances/gcut9";10;10;10;3.4246575342465753;0.002705812454223633;0.009105920791625977;0.0337519645690918;0.113795147;1804;2748;445;1315;489;919476.0;919476.0;1
"./instances/gcut10";10;20;20;3.8461538461538463;0.03786897659301758;0.011195182800292969;0.05370593070983887;0.111811039;2303;3365;554;1815;488;903435.0;903435.0;1
"./instances/gcut11";10;30;30;3.7593984962406015;0.007946968078613281;0.22583603858947754;0.23853206634521484;2.008093067;26880;37528;4244;20506;6374;955389.0;955389.0;1
"./instances/gcut12";10;50;50;3.937007874015748;0.02537703514099121;0.2613201141357422;0.3117249011993408;3.748167857;61065;79714;8146;50612;10453;970744.0;970744.0;1
"./instances/STS4";10;20;50;7.071428571428571;0.012362003326416016;0.23297810554504395;0.2700080871582031;25.616109561;50872;105784;4020;4452;46420;9700.0;9700.0;1
"./instances/STS4s";10;20;50;7.071428571428571;0.014667987823486328;0.4168860912322998;0.4566209316253662;26.842741542;50872;105784;4020;4452;46420;9770.0;9770.0;1
"./instances/A5";10;20;45;10.153846153846153;0.014271974563598633;0.2766139507293701;0.31383800506591797;39.8483864;57571;120618;5456;4570;53001;12985.0;12985.0;1
"./instances/Hchl2";10;35;75;7.222222222222222;0.032685041427612305;0.9273397922515869;0.9827210903167725;191.655119367;152577;312870;7681;12895;139682;9954.0;9954.0;1
"./instances/Hchl3s";10;10;51;8.466666666666667;0.01805901527404785;0.41815996170043945;0.460529088973999;469.724741935;82057;169836;5712;2080;79977;12215.0;12215.0;1
"./instances/Hchl4s";10;10;32;8.466666666666667;0.019151926040649414;0.6119859218597412;0.6546719074249268;3600.017563309;82057;169836;5712;2080;79977;11976.0;12257.0;12
