instfname;seed;n;n_;p_;time_to_enumerate_plates;time_to_solver_build;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/okp1";10;15;50;100.0;0.09894990921020508;1.6926109790802002;1.833536148071289;122.069150486;300832;609626;7947;15;300817;27589.0;27589.0;1
"./instances/okp4";10;33;61;100.0;0.0910041332244873;2.1460819244384766;2.2629621028900146;266.159832608;369903;748888;9049;33;369870;32893.0;32893.0;1
"./instances/okp5";10;29;97;100.0;0.11746096611022949;2.8561010360717773;2.999018907546997;337.616015284;491825;993185;9506;29;491796;27923.0;27923.0;1
"./instances/CU1";10;25;82;5.0;0.08040308952331543;1.974503993988037;2.07908296585083;150.395665733;354689;717103;7700;25;354664;12330.0;12330.0;1
"./instances/STS4";10;20;50;7.071428571428571;0.08488297462463379;2.4030020236968994;2.5137741565704346;178.336784779;419584;846412;7224;20;419564;9700.0;9700.0;1
"./instances/STS4s";10;20;50;7.071428571428571;0.08794498443603516;2.4194421768188477;2.532503128051758;154.140506605;419584;846412;7224;20;419564;9770.0;9770.0;1
"./instances/gcut9";10;10;10;3.4246575342465753;0.1455821990966797;2.8333899974823;3.002995014190674;279.298177388;475444;989824;38936;10;475434;919476.0;919476.0;1
"./instances/okp1";1;15;50;100.0;0.09652900695800781;1.6276259422302246;1.7662079334259033;122.05492476;300832;609626;7947;15;300817;27589.0;27589.0;1
"./instances/okp4";1;33;61;100.0;0.09494805335998535;2.1029200553894043;2.2220449447631836;289.671045028;369903;748888;9049;33;369870;32893.0;32893.0;1
"./instances/okp5";1;29;97;100.0;0.11428403854370117;2.7737209796905518;2.9148190021514893;321.021159172;491825;993185;9506;29;491796;27923.0;27923.0;1
"./instances/CU1";1;25;82;5.0;0.08592700958251953;1.9337828159332275;2.044039011001587;145.840786182;354689;717103;7700;25;354664;12330.0;12330.0;1
"./instances/STS4";1;20;50;7.071428571428571;0.09123516082763672;2.3577358722686768;2.4726030826568604;177.370789014;419584;846412;7224;20;419564;9700.0;9700.0;1
