instfname;seed;n;n_;p_;time_to_enumerate_plates;time_to_solver_build;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/okp1";10;15;50;100.0;0.11738395690917969;1.6601848602294922;1.818375825881958;116.429840152;295993;599948;7947;15;295978;27589.0;27589.0;1
"./instances/okp4";10;33;61;100.0;0.11040401458740234;2.0624208450317383;2.1974380016326904;241.380571628;353291;715664;9049;33;353258;32893.0;32893.0;1
"./instances/okp5";10;29;97;100.0;0.1410980224609375;2.772489070892334;2.9395079612731934;299.816904379;481549;972633;9506;29;481520;27923.0;27923.0;1
"./instances/CU1";10;25;82;5.0;0.09785199165344238;1.6156330108642578;1.7376399040222168;74.269866849;274623;556971;7700;25;274598;12330.0;12330.0;1
"./instances/STS4";10;20;50;7.071428571428571;0.10764098167419434;2.340027093887329;2.471385955810547;137.795578013;399077;805398;7224;20;399057;9700.0;9700.0;1
"./instances/STS4s";10;20;50;7.071428571428571;0.10831904411315918;2.319624185562134;2.4521241188049316;127.223068292;399077;805398;7224;20;399057;9770.0;9770.0;1
"./instances/gcut9";10;10;10;3.4246575342465753;0.16461181640625;2.070768117904663;2.2618601322174072;31.649502551;312476;661104;36152;10;312466;919476.0;919476.0;1
"./instances/okp1";1;15;50;100.0;0.11843514442443848;1.6401300430297852;1.799340009689331;114.117976993;295993;599948;7947;15;295978;27589.0;27589.0;1
"./instances/okp4";1;33;61;100.0;0.10856389999389648;2.017214059829712;2.148866891860962;245.316879241;353291;715664;9049;33;353258;32893.0;32893.0;1
"./instances/okp5";1;29;97;100.0;0.14038515090942383;2.72731876373291;2.8930160999298096;295.368366093;481549;972633;9506;29;481520;27923.0;27923.0;1
"./instances/CU1";1;25;82;5.0;0.0988469123840332;1.5982370376586914;1.7234599590301514;83.966986075;274623;556971;7700;25;274598;12330.0;12330.0;1
