instfname;seed;n;n_;p_;time_to_enumerate_plates;time_to_solver_build;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/gcut2";1;20;20;3.787878787878788;0.323789119720459;1.5339112281799316;1.8984501361846924;;322179;652912;8554;20;322159;;;
"./instances/gcut3";1;30;30;3.9682539682539684;0.4579660892486572;4.297711133956909;4.779476881027222;;803290;1620731;14151;30;803260;;;
"./instances/gcut4";1;50;50;4.032258064516129;0.8826119899749756;8.645956993103027;9.551308155059814;;1747678;3515533;20177;50;1747628;;;
"./instances/gcut5";1;10;10;3.787878787878788;0.013540029525756836;0.1035921573638916;0.1394212245941162;;20952;43420;1516;10;20942;;;
"./instances/gcut6";1;20;20;3.787878787878788;0.13038396835327148;1.392704963684082;1.5269520282745361;;238295;484095;7505;20;238275;;;
"./instances/gcut7";1;30;30;3.875968992248062;0.7472741603851318;5.224683046340942;5.99425196647644;;1122191;2264061;19679;30;1122161;;;
"./instances/gcut8";1;50;50;3.937007874015748;3.7856459617614746;36.79780602455139;40.60858917236328;;7228032;14512264;56200;50;7227982;;;
"./instances/gcut9";1;10;10;3.4246575342465753;0.014648914337158203;0.15044403076171875;0.190809965133667;;30311;62469;1847;10;30301;;;
"./instances/gcut10";1;20;20;3.8461538461538463;0.02214193344116211;0.02437901496887207;0.0503079891204834;;5740;11912;432;20;5720;;;
"./instances/gcut11";1;30;30;3.7593984962406015;4.2983880043029785;41.46505093574524;45.767268896102905;;7994019;16054525;66487;30;7993989;;;
"./instances/gcut12";1;50;50;3.937007874015748;10.564649105072021;109.58731389045715;120.17725896835327;;19395301;38921727;131125;50;19395251;;;
"./instances/STS4";1;20;50;7.071428571428571;0.10542988777160645;3.797229051589966;3.9281909465789795;;369406;744741;5909;20;369386;;;
"./instances/STS4s";1;20;50;7.071428571428571;0.09417510032653809;2.120558977127075;2.2359888553619385;;369406;744741;5909;20;369386;;;
"./instances/A5";1;20;45;10.153846153846153;0.12559795379638672;2.6937310695648193;2.8434510231018066;;505447;1018383;7469;20;505427;;;
"./instances/Hchl2";1;35;75;7.222222222222222;0.3958740234375;5.230195045471191;5.648416042327881;;939571;1890225;11048;35;939536;;;
"./instances/Hchl3s";1;10;51;8.466666666666667;0.29538798332214355;3.134899139404297;3.4522578716278076;;574121;1156088;7836;10;574111;;;
"./instances/Hchl4s";1;10;32;8.466666666666667;0.2679250240325928;3.1081900596618652;3.4006168842315674;;573858;1155562;7836;10;573848;;;
"./instances/Hchl6s";1;22;60;7.228571428571429;1.7417528629302979;22.156638860702515;23.925990104675293;;4269602;8569367;30141;22;4269580;;;
"./instances/Hchl7s";1;40;90;7.96969696969697;2.5177760124206543;32.832457065582275;35.37375020980835;;6067485;12172758;37748;40;6067445;;;
"./instances/CW1";1;25;67;5.0;0.11572003364562988;2.5739240646362305;2.7127339839935303;;353909;714175;6332;25;353884;;;
"./instances/CW2";1;35;63;4.852941176470588;0.4147930145263672;3.6318130493164062;4.071912050247192;;674224;1358143;9660;35;674189;;;
"./instances/CW3";1;40;96;4.6;1.0270628929138184;11.79615306854248;12.848382949829102;;2235915;4492931;21061;40;2235875;;;
"./instances/CHL1";1;30;63;10.153846153846153;0.188385009765625;3.7724099159240723;3.987840175628662;;643802;1296359;8725;30;643772;;;
"./instances/CHL1s";1;30;63;10.153846153846153;0.3465859889984131;3.511972188949585;3.884253978729248;;643802;1296359;8725;30;643772;;;
"./instances/CHL6";1;30;65;10.833333333333334;0.40559911727905273;5.516144037246704;5.947365999221802;;959380;1929951;11161;30;959350;;;
"./instances/CHL7";1;35;75;7.222222222222222;0.4901859760284424;4.8353869915008545;5.349665880203247;;948506;1908122;11075;35;948471;;;
"./instances/CU1";1;25;82;5.0;0.31808996200561523;1.0365328788757324;1.3818209171295166;;241491;488046;5039;25;241466;;;
"./instances/CU2";1;35;90;5.0;0.24951481819152832;3.3346900939941406;3.606703996658325;;695029;1400768;10675;35;694994;;;
"./instances/okp1";1;15;50;100.0;0.31412315368652344;1.4301848411560059;1.7690119743347168;;275512;556854;5815;15;275497;;;
"./instances/okp2";1;30;30;100.0;0.09370589256286621;1.7128291130065918;1.832273006439209;;320049;646373;6275;30;320019;;;
"./instances/okp3";1;30;30;33.333333333333336;0.07299995422363281;1.3487730026245117;1.4463460445404053;;245211;495851;5429;30;245181;;;
"./instances/okp4";1;33;61;100.0;0.09234285354614258;1.9534869194030762;2.071429967880249;;345132;696685;6388;33;345099;;;
"./instances/okp5";1;29;97;100.0;0.1203911304473877;2.6089069843292236;2.7529499530792236;;470531;948811;7720;29;470502;;;
"./instances/P1_100_200_25_1";1;25;127;16.666666666666668;0.5459949970245361;8.38077998161316;8.952408075332642;;1559754;3134541;15008;25;1559729;;;
"./instances/P1_100_200_25_2";1;25;124;20.0;0.767888069152832;10.129662036895752;10.91980504989624;;1763176;3542771;16394;25;1763151;;;
"./instances/P1_100_200_25_3";1;25;120;16.666666666666668;0.8033719062805176;10.107264995574951;10.936795949935913;;1822731;3661823;16336;25;1822706;;;
"./instances/P1_100_200_25_4";1;25;150;16.666666666666668;0.7678120136260986;9.217910051345825;10.011934995651245;;1707470;3430944;15979;25;1707445;;;
"./instances/P1_100_200_25_5";1;25;98;20.0;0.7593960762023926;10.146477937698364;10.932103157043457;;1791355;3598949;16214;25;1791330;;;
