instfname;seed;n;n_;p_;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/gcut2";1;20;20;3.787878787878788;4.537473201751709;;720680;1470153;28793;20;720660;;;
"./instances/gcut3";1;30;30;3.9682539682539684;7.797236919403076;;1342831;2718343;32681;30;1342801;;;
"./instances/gcut4";1;50;50;4.032258064516129;14.2674720287323;;2340193;4715562;35176;50;2340143;;;
"./instances/gcut5";1;10;10;3.787878787878788;1.3878028392791748;;174518;373506;24470;10;174508;;;
"./instances/gcut6";1;20;20;3.787878787878788;7.178714990615845;;1045534;2164882;73814;20;1045514;;;
"./instances/gcut7";1;30;30;3.875968992248062;17.98193597793579;;2884518;5869581;100545;30;2884488;;;
"./instances/gcut8";1;50;50;3.937007874015748;71.7610878944397;;11732661;23601846;136524;50;11732611;;;
"./instances/gcut9";1;10;10;3.4246575342465753;3.2000482082366943;;317407;670966;36152;10;317397;;;
"./instances/gcut10";1;20;20;3.8461538461538463;0.1453559398651123;;21188;44913;2537;20;21168;;;
"./instances/gcut11";1;30;30;3.7593984962406015;155.23736190795898;;22343126;45086322;400070;30;22343096;;;
"./instances/gcut12";1;50;50;3.937007874015748;302.891254901886;;38439527;77368482;489428;50;38439477;;;
"./instances/STS4";1;20;50;7.071428571428571;6.480204820632935;;403134;813512;7224;20;403114;;;
"./instances/STS4s";1;20;50;7.071428571428571;2.68403697013855;;403134;813512;7224;20;403114;;;
"./instances/A5";1;20;45;10.153846153846153;3.4530210494995117;;550779;1111980;10402;20;550759;;;
"./instances/Hchl2";1;35;75;7.222222222222222;6.177570104598999;;977781;1968191;12594;35;977746;;;
"./instances/Hchl3s";1;10;51;8.466666666666667;3.8953750133514404;;622877;1255434;9670;10;622867;;;
"./instances/Hchl4s";1;10;32;8.466666666666667;3.86928391456604;;622465;1254610;9670;10;622455;;;
"./instances/Hchl6s";1;22;60;7.228571428571429;29.37066102027893;;4781280;9607175;44593;22;4781258;;;
"./instances/Hchl7s";1;40;90;7.96969696969697;39.460553884506226;;6491578;13029687;46491;40;6491538;;;
"./instances/CW1";1;25;67;5.0;3.0593600273132324;;388901;786234;8407;25;388876;;;
"./instances/CW2";1;35;63;4.852941176470588;4.946945905685425;;784803;1584305;14664;35;784768;;;
"./instances/CW3";1;40;96;4.6;15.834518909454346;;2623050;5279364;33224;40;2623010;;;
"./instances/CHL1";1;30;63;10.153846153846153;4.259485960006714;;658268;1326968;10402;30;658238;;;
"./instances/CHL1s";1;30;63;10.153846153846153;3.964543104171753;;658268;1326968;10402;30;658238;;;
"./instances/CHL6";1;30;65;10.833333333333334;5.6579430103302;;998752;2010704;13170;30;998722;;;
"./instances/CHL7";1;35;75;7.222222222222222;5.655817031860352;;988361;1989351;12594;35;988326;;;
"./instances/CU1";1;25;82;5.0;1.7273640632629395;;291296;590317;7700;25;291271;;;
"./instances/CU2";1;35;90;5.0;4.921425104141235;;802742;1621587;16068;35;802707;;;
"./instances/okp1";1;15;50;100.0;1.8231151103973389;;296252;600466;7947;15;296237;;;
"./instances/okp2";1;30;30;100.0;2.0629332065582275;;333830;677166;9506;30;333800;;;
"./instances/okp3";1;30;30;33.333333333333336;1.5815918445587158;;262613;533582;8356;30;262583;;;
"./instances/okp4";1;33;61;100.0;1.9697461128234863;;353494;716070;9049;33;353461;;;
"./instances/okp5";1;29;97;100.0;3.0042569637298584;;481551;972637;9506;29;481522;;;
"./instances/P1_100_200_25_1";1;25;127;16.666666666666668;9.540825128555298;;1630446;3278513;17596;25;1630421;;;
"./instances/P1_100_200_25_2";1;25;124;20.0;10.239138841629028;;1786455;3590875;17940;25;1786430;;;
"./instances/P1_100_200_25_3";1;25;120;16.666666666666668;11.13957405090332;;1862032;3741890;17801;25;1862007;;;
"./instances/P1_100_200_25_4";1;25;150;16.666666666666668;9.861571073532104;;1737917;3493339;17480;25;1737892;;;
"./instances/P1_100_200_25_5";1;25;98;20.0;10.743432998657227;;1830672;3679392;18023;25;1830647;;;
