instfname;seed;n;n_;p_;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/gcut2";1;20;20;3.787878787878788;3.991318941116333;;619269;1267331;28793;20;619249;;;
"./instances/gcut3";1;30;30;3.9682539682539684;6.643769979476929;;1153369;2339419;32681;30;1153339;;;
"./instances/gcut4";1;50;50;4.032258064516129;12.948436975479126;;2094942;4225060;35176;50;2094892;;;
"./instances/gcut5";1;10;10;3.787878787878788;1.3870980739593506;;170617;365704;24470;10;170607;;;
"./instances/gcut6";1;20;20;3.787878787878788;6.197833061218262;;996909;2067632;73814;20;996889;;;
"./instances/gcut7";1;30;30;3.875968992248062;16.659299850463867;;2536418;5173381;100545;30;2536388;;;
"./instances/gcut8";1;50;50;3.937007874015748;59.773102045059204;;9779172;19694868;136524;50;9779122;;;
"./instances/gcut9";1;10;10;3.4246575342465753;3.0598671436309814;;312476;661104;36152;10;312466;;;
"./instances/gcut10";1;20;20;3.8461538461538463;0.14286303520202637;;19467;41471;2537;20;19447;;;
"./instances/gcut11";1;30;30;3.7593984962406015;120.64056086540222;;17391575;35183220;400070;30;17391545;;;
"./instances/gcut12";1;50;50;3.937007874015748;237.56439900398254;;30802012;62093452;489428;50;30801962;;;
"./instances/STS4";1;20;50;7.071428571428571;5.936227083206177;;399077;805398;7224;20;399057;;;
"./instances/STS4s";1;20;50;7.071428571428571;2.5618789196014404;;399077;805398;7224;20;399057;;;
"./instances/A5";1;20;45;10.153846153846153;3.4567909240722656;;548292;1107006;10402;20;548272;;;
"./instances/Hchl2";1;35;75;7.222222222222222;6.15721583366394;;971265;1955159;12594;35;971230;;;
"./instances/Hchl3s";1;10;51;8.466666666666667;3.9304330348968506;;619765;1249210;9670;10;619755;;;
"./instances/Hchl4s";1;10;32;8.466666666666667;3.880284070968628;;619359;1248398;9670;10;619349;;;
"./instances/Hchl6s";1;22;60;7.228571428571429;29.292438983917236;;4720946;9486507;44593;22;4720924;;;
"./instances/Hchl7s";1;40;90;7.96969696969697;39.78756904602051;;6435650;12917831;46491;40;6435610;;;
"./instances/CW1";1;25;67;5.0;3.1553001403808594;;377597;763626;8407;25;377572;;;
"./instances/CW2";1;35;63;4.852941176470588;4.592390060424805;;745599;1505897;14664;35;745564;;;
"./instances/CW3";1;40;96;4.6;15.622505187988281;;2497192;5027648;33224;40;2497152;;;
"./instances/CHL1";1;30;63;10.153846153846153;4.10730504989624;;656196;1322824;10402;30;656166;;;
"./instances/CHL1s";1;30;63;10.153846153846153;4.160061836242676;;656196;1322824;10402;30;656166;;;
"./instances/CHL6";1;30;65;10.833333333333334;5.6852850914001465;;995577;2004354;13170;30;995547;;;
"./instances/CHL7";1;35;75;7.222222222222222;5.611896991729736;;981845;1976319;12594;35;981810;;;
"./instances/CU1";1;25;82;5.0;1.634213924407959;;274623;556971;7700;25;274598;;;
"./instances/CU2";1;35;90;5.0;4.724732875823975;;764482;1545067;16068;35;764447;;;
"./instances/okp1";1;15;50;100.0;1.8067779541015625;;295993;599948;7947;15;295978;;;
"./instances/okp2";1;30;30;100.0;2.036679983139038;;333828;677162;9506;30;333798;;;
"./instances/okp3";1;30;30;33.333333333333336;1.607748031616211;;262215;532786;8356;30;262185;;;
"./instances/okp4";1;33;61;100.0;1.9593911170959473;;353291;715664;9049;33;353258;;;
"./instances/okp5";1;29;97;100.0;3.016892194747925;;481549;972633;9506;29;481520;;;
"./instances/P1_100_200_25_1";1;25;127;16.666666666666668;9.471110105514526;;1629199;3276019;17596;25;1629174;;;
"./instances/P1_100_200_25_2";1;25;124;20.0;11.088099956512451;;1785515;3588995;17940;25;1785490;;;
"./instances/P1_100_200_25_3";1;25;120;16.666666666666668;11.094908952713013;;1860924;3739674;17801;25;1860899;;;
"./instances/P1_100_200_25_4";1;25;150;16.666666666666668;10.048943042755127;;1736162;3489829;17480;25;1736137;;;
"./instances/P1_100_200_25_5";1;25;98;20.0;10.850970029830933;;1829720;3677488;18023;25;1829695;;;
