instfname;seed;n;n_;p_;time_to_enumerate_plates;time_to_solver_build;time_to_build_model;time_to_solve_model;num_vars;num_constrs;num_plates;num_picuts;num_cuts_made;obj_value;obj_bound;stop_code
"./instances/okp1";10;15;50;100.0;0.10596108436584473;1.5284690856933594;1.6757149696350098;89.614095217;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";10;33;61;100.0;0.09612393379211426;1.947721004486084;2.069530963897705;117.359823242;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";10;29;97;100.0;0.1357569694519043;2.627887010574341;2.790060043334961;159.925838811;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";10;25;82;5.0;0.07561993598937988;1.382843017578125;1.4847121238708496;31.719787754;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";10;20;50;7.071428571428571;0.09368300437927246;1.896697998046875;2.014343023300171;87.452739058;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";10;20;50;7.071428571428571;0.10001301765441895;2.0758399963378906;2.200411081314087;79.493855123;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";10;10;10;3.4246575342465753;0.021065950393676758;0.21027493476867676;0.2567322254180908;1.204513113;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";1;15;50;100.0;0.10277795791625977;1.4962999820709229;1.6435799598693848;92.98939838;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";1;33;61;100.0;0.1036062240600586;1.9729859828948975;2.098579168319702;109.502778658;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";1;29;97;100.0;0.1278541088104248;2.607097864151001;2.758455991744995;171.094892224;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";1;25;82;5.0;0.0743260383605957;1.3701438903808594;1.4707229137420654;31.623885657;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";1;20;50;7.071428571428571;0.09090185165405273;1.891228199005127;2.0066680908203125;88.588401892;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";1;20;50;7.071428571428571;0.09807014465332031;2.0799148082733154;2.2042760848999023;78.394045648;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";1;10;10;3.4246575342465753;0.02197408676147461;0.2135169506072998;0.26181793212890625;1.138699492;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";2;15;50;100.0;0.10484600067138672;1.5656471252441406;1.713559865951538;89.20196918;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";2;33;61;100.0;0.09804081916809082;2.0348498821258545;2.1549789905548096;114.666677209;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";2;29;97;100.0;0.13088703155517578;2.717200994491577;2.872239828109741;171.214571997;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";2;25;82;5.0;0.07586002349853516;1.435149908065796;1.536830186843872;28.172022934;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";2;20;50;7.071428571428571;0.09627103805541992;1.9695630073547363;2.0899388790130615;86.63960897;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";2;20;50;7.071428571428571;0.09869003295898438;2.168170928955078;2.2912211418151855;77.154262998;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";2;10;10;3.4246575342465753;0.0200498104095459;0.22121405601501465;0.2677140235900879;1.079974426;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";3;15;50;100.0;0.1034080982208252;1.6129579544067383;1.7590150833129883;91.421086986;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";3;33;61;100.0;0.10079598426818848;2.090986967086792;2.215153932571411;111.659470582;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";3;29;97;100.0;0.1245260238647461;2.7754900455474854;2.924560070037842;162.235575032;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";3;25;82;5.0;0.07501697540283203;1.46858811378479;1.568993091583252;31.280587124;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";3;20;50;7.071428571428571;0.09696102142333984;2.023771047592163;2.146531105041504;86.902204442;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";3;20;50;7.071428571428571;0.10053706169128418;2.2046241760253906;2.330448865890503;82.85477238;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";3;10;10;3.4246575342465753;0.020798921585083008;0.22179603576660156;0.2684969902038574;1.155137309;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";4;15;50;100.0;0.10303902626037598;1.520763874053955;1.6671109199523926;89.862691033;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";4;33;61;100.0;0.09635090827941895;1.95943284034729;2.0797109603881836;114.150566002;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";4;29;97;100.0;0.13495588302612305;2.6302459239959717;2.7913718223571777;172.232668731;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";4;25;82;5.0;0.07573103904724121;1.3793230056762695;1.4813950061798096;31.888913343;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";4;20;50;7.071428571428571;0.09470677375793457;1.8746140003204346;1.9942269325256348;87.664001362;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";4;20;50;7.071428571428571;0.10009503364562988;2.0995659828186035;2.2240679264068604;76.197767968;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";4;10;10;3.4246575342465753;0.0208740234375;0.2133629322052002;0.2590670585632324;1.121457248;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";5;15;50;100.0;0.1010580062866211;1.5452110767364502;1.691028118133545;88.429343053;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";5;33;61;100.0;0.09747600555419922;2.0036590099334717;2.126471996307373;113.86929564;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";5;29;97;100.0;0.12929296493530273;2.711109161376953;2.86617112159729;163.951612165;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";5;25;82;5.0;0.0777740478515625;1.404006004333496;1.507707118988037;31.764346853;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";5;20;50;7.071428571428571;0.09562087059020996;1.9535648822784424;2.074671983718872;95.257579201;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";5;20;50;7.071428571428571;0.09879803657531738;2.121965169906616;2.245522975921631;75.301175155;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";5;10;10;3.4246575342465753;0.020021915435791016;0.21671104431152344;0.2610599994659424;1.121606608;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";6;15;50;100.0;0.10154199600219727;1.53171706199646;1.67702317237854;90.253493713;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";6;33;61;100.0;0.09623408317565918;1.9983501434326172;2.1193299293518066;111.863378992;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";6;29;97;100.0;0.13581514358520508;2.7071890830993652;2.8668880462646484;168.055150946;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";6;25;82;5.0;0.0749349594116211;1.4090218544006348;1.5091261863708496;33.008664034;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";6;20;50;7.071428571428571;0.09640693664550781;1.9533579349517822;2.0755529403686523;86.529177195;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";6;20;50;7.071428571428571;0.09716987609863281;2.154764175415039;2.2768640518188477;77.474071362;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";6;10;10;3.4246575342465753;0.022248029708862305;0.2177889347076416;0.26477813720703125;1.117390308;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";7;15;50;100.0;0.10242700576782227;1.5841829776763916;1.7271392345428467;89.726448356;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";7;33;61;100.0;0.10402202606201172;2.0701889991760254;2.1964359283447266;110.624835838;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";7;29;97;100.0;0.13182783126831055;2.7481489181518555;2.9033961296081543;168.129402127;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";7;25;82;5.0;0.07464599609375;1.4375009536743164;1.537060022354126;29.833365584;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";7;20;50;7.071428571428571;0.08982205390930176;1.9837911128997803;2.097815990447998;86.254414642;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";7;20;50;7.071428571428571;0.0998070240020752;2.18902587890625;2.3123090267181396;78.005997154;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";7;10;10;3.4246575342465753;0.019590139389038086;0.21947503089904785;0.26217103004455566;1.162864413;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";8;15;50;100.0;0.10452103614807129;1.5328290462493896;1.6817619800567627;87.874955255;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";8;33;61;100.0;0.09500408172607422;1.9494659900665283;2.0677359104156494;122.02293047;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";8;29;97;100.0;0.1280660629272461;2.6144611835479736;2.7683489322662354;166.081852333;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";8;25;82;5.0;0.07674217224121094;1.3888001441955566;1.4905378818511963;29.546858255;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";8;20;50;7.071428571428571;0.09509515762329102;1.8768789768218994;1.9942030906677246;86.349174406;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";8;20;50;7.071428571428571;0.09975695610046387;2.0595688819885254;2.1842868328094482;77.930764472;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";8;10;10;3.4246575342465753;0.020998001098632812;0.21343088150024414;0.2590920925140381;1.154864353;30311;62469;1847;10;30301;919476.0;919476.0;1
"./instances/okp1";9;15;50;100.0;0.10237503051757812;1.5139129161834717;1.6586339473724365;90.277766753;275512;556854;5815;15;275497;27589.0;27589.0;1
"./instances/okp4";9;33;61;100.0;0.09349989891052246;2.0031120777130127;2.121868848800659;111.071550801;345132;696685;6388;33;345099;32893.0;32893.0;1
"./instances/okp5";9;29;97;100.0;0.1247870922088623;2.594059944152832;2.744265079498291;163.527643918;470531;948811;7720;29;470502;27923.0;27923.0;1
"./instances/CU1";9;25;82;5.0;0.07529187202453613;1.376490831375122;1.476430892944336;31.632364384;241491;488046;5039;25;241466;12330.0;12330.0;1
"./instances/STS4";9;20;50;7.071428571428571;0.0951540470123291;1.8872249126434326;2.0061349868774414;84.706856273;369406;744741;5909;20;369386;9700.0;9700.0;1
"./instances/STS4s";9;20;50;7.071428571428571;0.09630012512207031;2.0749120712280273;2.1971819400787354;76.29451907;369406;744741;5909;20;369386;9770.0;9770.0;1
"./instances/gcut9";9;10;10;3.4246575342465753;0.019765853881835938;0.21048998832702637;0.2532529830932617;1.152874548;30311;62469;1847;10;30301;919476.0;919476.0;1
