instance_path;solver_seed;rotation;mirror_plates;faithful;round2disc;pricing;hybridization;aggressive_hybridization;hybridizations;first_borns_killed_by_hybridization;aggressive_hybridization_extra_vars;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_value;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/W;1;0;0;0;1;none;1;1;1699;1238;73;383;1999;272;383;1999;272;0;383;1999;272;383;1999;272;0.000112743;2402;7518;7227;0.000876781;0.00886392593383789;BUILT_MODEL;MathOptInterface.OPTIMAL;0.041697025299072266;2721.0;0.03;2721.0;2721.0;2721;0.0013279914855957031;0.043029069900512695;0.043194226;false;0.095238323;0.14066093;0.0941384;./experiments_outputs/2022-03-08T00:53:43/jl_2R5ypp
../instances/CHL2s;1;0;0;0;1;none;1;1;3488;2119;28;322;3975;475;322;3975;475;0;322;3975;475;322;3975;475;0.000216349;4307;13416;13916;0.00154713;0.032158851623535156;BUILT_MODEL;MathOptInterface.OPTIMAL;0.2620890140533447;3385.5;0.06;3279.0;3279.0;3279;0.0024068355560302734;0.2644991874694824;0.264662763;false;0.097044443;0.363937111;0.095249272;./experiments_outputs/2022-03-08T00:53:43/jl_2tvAnp
../instances/CHL2s;1;0;0;0;1;none;1;0;3438;2105;0;322;3953;475;322;3953;475;0;322;3953;475;322;3953;475;0.00021112;4285;13350;13786;0.001527697;0.03368401527404785;BUILT_MODEL;MathOptInterface.OPTIMAL;0.22293806076049805;3385.5;0.05;3279.0;3279.0;3279;0.002398967742919922;0.2253410816192627;0.225384929;false;0.098407328;0.326074835;0.096595753;./experiments_outputs/2022-03-08T00:53:43/jl_2uF1Ir
../instances/STS2s;1;0;0;0;1;none;1;0;14898;7823;0;2766;24909;1651;2766;24909;1651;0;2766;24909;1651;2766;24909;1651;0.000993474;27705;84826;86767;0.009471884;0.08155107498168945;BUILT_MODEL;MathOptInterface.OPTIMAL;1.139775037765503;4667.0;0.72;4653.0;4653.0;4653;0.011874914169311523;1.1516530513763428;1.151710788;false;0.102945106;1.256906291;0.104333168;./experiments_outputs/2022-03-08T00:53:43/jl_2wLl3r
../instances/A2s;1;0;0;0;1;none;1;0;3283;2437;0;1272;3494;452;1272;3494;452;0;1272;3494;452;1272;3494;452;0.000183418;4786;14850;13867;0.001654878;0.015244007110595703;BUILT_MODEL;MathOptInterface.OPTIMAL;0.08954000473022461;3539.83333;0.07;3535.0;3535.0;3535;0.0024700164794921875;0.09201407432556152;0.092062847;false;0.098022379;0.192425435;0.096184063;./experiments_outputs/2022-03-08T00:53:43/jl_37c0Up
../instances/gcut9;1;0;0;0;1;none;1;1;181;138;0;102;181;44;102;181;44;0;102;181;44;102;181;44;3.5838e-5;293;943;810;0.00083922;0.0032911300659179688;BUILT_MODEL;MathOptInterface.OPTIMAL;0.013936042785644531;937266.0;0.01;919476.0;919476.0;919476;0.00048613548278808594;0.014425039291381836;0.014588554;false;0.093759864;0.11072099;0.09339372;./experiments_outputs/2022-03-08T00:53:43/jl_3eRXSp
../instances/gcut1;1;0;0;0;1;none;0;0;0;0;0;77;161;49;77;161;49;0;77;161;49;77;161;49;3.3694e-5;238;773;612;0.000178339;0.002794981002807617;BUILT_MODEL;MathOptInterface.OPTIMAL;0.008417129516601562;50297.0;0.0;48368.0;48368.0;48368;0.00030684471130371094;0.008727073669433594;0.008773097;false;0.094408379;0.105289335;0.09413436;./experiments_outputs/2022-03-08T00:53:43/jl_4hSC1n
../instances/gcut11;1;0;0;0;1;none;1;1;2929;2519;276;1956;2929;333;1956;2929;333;0;1956;2929;333;1956;2929;333;0.000144233;4915;15138;13169;0.005885749;0.019472122192382812;BUILT_MODEL;MathOptInterface.OPTIMAL;0.10747408866882324;972031.833;0.06;955389.0;955389.0;955389;0.002441883087158203;0.10991907119750977;0.110089986;false;0.096724449;0.209027586;0.094411559;./experiments_outputs/2022-03-08T00:53:43/jl_4YcCho
../instances/HH;1;0;0;0;1;none;0;0;0;0;0;46;4324;532;46;4324;532;0;46;4324;532;46;4324;532;0.00024263;4370;13647;12600;0.001246584;0.03197908401489258;BUILT_MODEL;MathOptInterface.OPTIMAL;3.948939085006714;12028.0435;0.07;11586.0;11586.0;11586;0.002665996551513672;3.951608896255493;3.951649021;false;0.098446509;4.052306464;0.096557104;./experiments_outputs/2022-03-08T00:53:43/jl_58kwZq
../instances/Hchl2;1;0;0;0;1;none;0;0;0;0;0;8114;137341;5840;8114;137341;5840;0;8114;137341;5840;8114;137341;5840;0.013536514;145455;442240;423203;0.051645512;0.4680020809173584;BUILT_MODEL;MathOptInterface.OPTIMAL;47.44001913070679;10053.1765;24.07;9954.0;9954.0;9954;0.06765079498291016;47.50767397880554;47.507750422;false;0.108525324;47.618772782;0.157839991;./experiments_outputs/2022-03-08T00:53:43/jl_5O7HPo
../instances/gcut11;1;0;0;0;1;none;0;0;0;0;0;2368;3304;406;2368;3304;406;0;2368;3304;406;2368;3304;406;0.000180352;5672;17452;14485;0.005205673;0.02106499671936035;BUILT_MODEL;MathOptInterface.OPTIMAL;0.12116789817810059;972031.833;0.06;955389.0;955389.0;955389;0.0027589797973632812;0.12392997741699219;0.123986092;false;0.0973407;0.223578711;0.095280231;./experiments_outputs/2022-03-08T00:53:43/jl_6Pschs
