instance_path;rotation;mirror_plates;faithful;round2disc;pricing;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2MKP/A32_M2;0;0;0;1;none;309474;47108328;502320;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;NaN;-1;-1;-1;18.811672851;NaN;REASON_NOT_FOUND;REASON_NOT_FOUND;NaN;NaN;NaN;NaN;-1;NaN;NaN;NaN;true;6.237515283;167.067678759;50.445055043;./experiments_outputs/2021-06-04T18:35:16/jl_vBZ0vA
../instances/G2MKP/A33_M8;0;0;0;1;none;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;NaN;-1;-1;-1;NaN;NaN;REASON_NOT_FOUND;REASON_NOT_FOUND;NaN;NaN;NaN;NaN;-1;NaN;NaN;NaN;true;0.272694329;90.117324267;8.956762627;./experiments_outputs/2021-06-04T18:35:16/jl_vc8zFz
../instances/G2MKP/A35_M2;0;0;0;1;none;201530;21423983;303755;201530;21423983;303755;0;201530;21423983;303755;201530;21423983;303755;5.71968857;21625513;65180362;64388100;8.475546373;153.00133109092712;BUILT_MODEL;MathOptInterface.MEMORY_LIMIT;160.54580092430115;NaN;NaN;NaN;-1;NaN;NaN;NaN;true;1.664529261;162.272142358;37.552020258;./experiments_outputs/2021-06-04T18:35:16/jl_W0DpsA
../instances/G2MKP/A24_M2;0;0;0;1;none;253760;88738770;528898;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;NaN;-1;-1;-1;36.658491985;NaN;REASON_NOT_FOUND;REASON_NOT_FOUND;NaN;NaN;NaN;NaN;-1;NaN;NaN;NaN;true;26.383411849;237.173139625;78.568236332;./experiments_outputs/2021-06-04T18:35:16/jl_WBLRlA
../instances/G2MKP/A18_M2;0;0;0;1;none;2861;2748760;65394;2861;2748760;65394;0;2861;2748760;65394;2861;2748760;65394;0.117117977;2751621;8320277;8190734;1.036091939;11.903817176818848;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3601.1406371593475;3588.64;-0.0;3.9398312382e10;0;1.1947178840637207;NaN;NaN;true;0.309502711;3602.675673263;1.514216352;./experiments_outputs/2021-06-04T18:35:16/jl_x9W7Jz
../instances/G2MKP/A13_M4;0;0;0;1;none;982;595836;16468;982;595836;16468;0;982;595836;16468;982;595836;16468;0.023286252;596818;1806930;1773362;0.185631527;2.475346088409424;BUILT_MODEL;MathOptInterface.OPTIMAL;492.5774681568146;414.18;2.1010004e7;2.1010004e7;21010004;0.26000189781188965;492.83747696876526;492.845847291;false;0.150301477;492.998295769;0.481341568;./experiments_outputs/2021-06-04T18:35:16/jl_xbjg1B
../instances/G2MKP/A21_M2;0;0;0;1;none;1353;1992214;43333;1353;1992214;43333;0;1353;1992214;43333;1353;1992214;43333;0.106045217;1993567;6024055;5937528;0.738731457;8.981422901153564;BUILT_MODEL;MathOptInterface.OPTIMAL;3512.4603090286255;3140.9;1.0607622e7;1.0607622e7;10607622;0.8786838054656982;3513.339035987854;3513.339328755;false;0.230670883;3513.572299999;1.117785853;./experiments_outputs/2021-06-04T18:35:16/jl_Y33ZjB
../instances/G2MKP/A19_M8;0;0;0;1;none;14683;27144154;212367;14683;27144154;212367;0;14683;27144154;212367;14683;27144154;212367;7.979588256;27158837;81688905;81245112;10.044587591;127.74478602409363;BUILT_MODEL;MathOptInterface.MEMORY_LIMIT;290.9795639514923;NaN;NaN;NaN;-1;5.0067901611328125e-6;290.9795730113983;291.026309117;false;2.066555744;293.192751955;39.219696307;./experiments_outputs/2021-06-04T18:35:16/jl_ZnP6mC
../instances/G2MKP/A21_M8;0;0;0;1;none;1353;1992214;43333;1353;1992214;43333;0;1353;1992214;43333;1353;1992214;43333;0.107594475;1993567;6024055;5937528;0.809036813;8.277466058731079;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3609.4245500564575;3600.78;-0.0;1.1777083862e10;0;0.8666689395904541;NaN;NaN;true;0.239178411;3610.58129825;1.047006319;./experiments_outputs/2021-06-04T18:35:16/jl_ZURpNB
../instances/G2MKP/A03_M2;1;1;0;1;none;4;18;8;4;18;8;0;4;18;8;4;18;8;4.0998e-5;22;76;60;0.012781662;0.01503896713256836;BUILT_MODEL;MathOptInterface.OPTIMAL;0.01620793342590332;0.0;4.201018e6;4.201018e6;4201018;0.00041103363037109375;0.01662302017211914;0.016871883;false;0.099276964;0.118369425;0.100331171;./experiments_outputs/2021-06-16T18:22:12/jl_cxosnX
../instances/G2MKP/A07_M2;1;1;0;1;none;84;1746;214;84;1746;214;0;84;1746;214;84;1746;214;0.000123414;1830;5709;5247;0.005597017;0.03061389923095703;BUILT_MODEL;MathOptInterface.OPTIMAL;0.05435299873352051;0.02;6.338432e6;6.338432e6;6338432;0.0018858909606933594;0.056242942810058594;0.056514504;false;0.114108731;0.173148641;0.105787041;./experiments_outputs/2021-06-16T18:22:12/jl_iKxl9X
../instances/G2MKP/A07_M4;1;1;0;1;none;84;1746;214;84;1746;214;0;84;1746;214;84;1746;214;0.000116521;1830;5709;5247;0.007474095;0.014676094055175781;BUILT_MODEL;MathOptInterface.OPTIMAL;0.03783106803894043;0.02;1.251872e7;1.251872e7;12518720;0.0027048587799072266;0.04053902626037598;0.040808064;false;0.099160591;0.142236465;0.100341129;./experiments_outputs/2021-06-16T18:22:12/jl_j4S9qY
../instances/G2MKP/A02_M8;1;1;0;1;none;21;217;57;21;217;57;0;21;217;57;21;217;57;6.2098e-5;238;775;666;0.013036144;0.015986919403076172;BUILT_MODEL;MathOptInterface.OPTIMAL;0.01967000961303711;0.0;1.7894576e7;1.7894576e7;17894576;0.0013990402221679688;0.02107381820678711;0.021325884;false;0.099323611;0.122865354;0.100378179;./experiments_outputs/2021-06-16T18:22:12/jl_JpYtvZ
../instances/G2MKP/A02_M4;1;1;0;1;none;21;217;57;21;217;57;0;21;217;57;21;217;57;6.0244e-5;238;775;666;0.016266266;0.01939702033996582;BUILT_MODEL;MathOptInterface.OPTIMAL;0.023068904876708984;0.0;9.079396e6;9.079396e6;9079396;0.000988006591796875;0.024060964584350586;0.024327893;false;0.101240864;0.127831064;0.105382944;./experiments_outputs/2021-06-16T18:22:12/jl_nwvDLZ
../instances/G2MKP/A05_M2;1;1;0;1;none;1292;769575;21917;1292;769575;21917;0;1292;769575;21917;1292;769575;21917;0.046651416;770867;2334526;2289561;0.454913378;2.671529769897461;BUILT_MODEL;MathOptInterface.OPTIMAL;1268.314435005188;1179.42;1.019948e7;1.019948e7;10199480;0.3505899906158447;1268.6650331020355;1268.665289966;false;0.166516686;1268.834035135;0.653773127;./experiments_outputs/2021-06-16T18:22:12/jl_wh8hEZ
../instances/G2MKP/A02_M2;1;1;0;1;none;21;217;57;21;217;57;0;21;217;57;21;217;57;5.7759e-5;238;775;666;0.042691954;0.30045485496520996;BUILT_MODEL;MathOptInterface.OPTIMAL;0.31710386276245117;0.0;4.671806e6;4.671806e6;4671806;0.03128194808959961;0.34839892387390137;0.356855674;false;0.101512008;0.969607442;0.108026686;./experiments_outputs/2021-06-16T18:22:12/jl_zi9Pg0
../instances/G2MKP/A05_M4;1;1;0;1;none;1292;769575;21917;1292;769575;21917;0;1292;769575;21917;1292;769575;21917;0.031071364;770867;2334526;2289561;0.292082517;2.6729800701141357;BUILT_MODEL;MathOptInterface.OPTIMAL;1392.2398030757904;1249.07;2.0373040686763935e7;2.0373040686763935e7;20373040;0.35343098640441895;1392.593241930008;1392.60730007;false;0.164489701;1392.774149394;0.658173049;./experiments_outputs/2021-06-16T18:22:12/jl_ZzLXvZ
../instances/G2MKP/A02_M8;1;1;0;1;none;21;217;57;21;217;57;0;21;217;57;21;217;57;4.9614e-5;238;775;666;0.011179994;0.01370096206665039;BUILT_MODEL;MathOptInterface.OPTIMAL;0.017287015914916992;0.0;1.7894576e7;1.7894576e7;17894576;0.0013370513916015625;0.018626928329467773;0.018878738;false;0.093056708;0.114010483;0.093897529;./experiments_outputs/2021-06-21T14:59:25/jl_41jnPX
../instances/G2MKP/A42_M2;1;1;0;1;none;67;293;65;67;293;65;0;67;293;65;67;293;65;5.4944e-5;360;1153;981;0.040644131;0.284182071685791;BUILT_MODEL;MathOptInterface.OPTIMAL;0.3014669418334961;0.0;5.954727e6;5.954727e6;5954727;0.029490947723388672;0.33097100257873535;0.33899979;false;0.095539637;0.916467182;0.10159978;./experiments_outputs/2021-06-21T14:59:25/jl_5KWXhX
../instances/G2MKP/A07_M2;1;1;0;1;none;84;1746;214;84;1746;214;0;84;1746;214;84;1746;214;0.00014783;1830;5709;5247;0.005377565;0.031015872955322266;BUILT_MODEL;MathOptInterface.OPTIMAL;0.0543980598449707;0.02;6.338432e6;6.338432e6;6338432;0.0018498897552490234;0.05625200271606445;0.074461516;false;0.122634623;0.199780678;0.11962609;./experiments_outputs/2021-06-21T14:59:25/jl_6PvBS1
../instances/G2MKP/A34_M2;1;1;0;1;none;21700;3487948;73301;21700;3487948;73301;0;21700;3487948;73301;21700;3487948;73301;0.144799387;3509648;10602271;10434707;1.325526848;11.175894021987915;BUILT_MODEL;MathOptInterface.TIME_LIMIT;3602.591799020767;3590.68;-0.0;2.5168769695e10;0;1.5137829780578613;NaN;NaN;true;0.386651461;3605.817618186;1.702454729;./experiments_outputs/2021-06-21T14:59:25/jl_bhHlDY
../instances/G2MKP/A07_M4;1;1;0;1;none;84;1746;214;84;1746;214;0;84;1746;214;84;1746;214;0.000113606;1830;5709;5247;0.007588425;0.014289140701293945;BUILT_MODEL;MathOptInterface.OPTIMAL;0.03724312782287598;0.02;1.251872e7;1.251872e7;12518720;0.0025899410247802734;0.03983616828918457;0.04010447;false;0.094848265;0.138265597;0.0957425;./experiments_outputs/2021-06-21T14:59:25/jl_dsA4YX
../instances/G2MKP/A43_M2;1;1;0;1;none;505;69973;3245;505;69973;3245;0;505;69973;3245;505;69973;3245;0.002825079;70478;214690;207767;0.03330124;0.20937395095825195;BUILT_MODEL;MathOptInterface.OPTIMAL;7.987166881561279;3.8;6.293486e6;6.293486e6;6293486;0.03487205505371094;8.022044897079468;8.022311757;false;0.110938558;8.135319602;0.122636684;./experiments_outputs/2021-06-21T14:59:25/jl_ea5TJ1
../instances/G2MKP/A12_M4;1;1;0;1;none;17;111;31;17;111;31;0;17;111;31;17;111;31;4.4214e-5;128;418;337;0.009755578;0.011937141418457031;BUILT_MODEL;MathOptInterface.OPTIMAL;0.014406204223632812;0.0;1.9847184e7;1.9847184e7;19847184;0.0012388229370117188;0.01564812660217285;0.015897394;false;0.09310559;0.111021856;0.093945699;./experiments_outputs/2021-06-21T14:59:25/jl_efMuEX
