instance_path;solver_seed;rotation;mirror_plates;faithful;round2disc;pricing;hybridization;aggressive_hybridization;hybridizations;first_borns_killed_by_hybridization;aggressive_hybridization_extra_vars;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/G2OPP/Clautiaux42/E10X15;7;0;0;0;1;none;0;0;0;0;0;36;2566;300;36;2566;300;0;36;2566;300;36;2566;300;0.000141569;2602;8120;7490;0.000768487;0.02674698829650879;BUILT_MODEL;MathOptInterface.INFEASIBLE;9.5014169216156;0.04;NaN;NaN;-1;4.0531158447265625e-6;9.501423835754395;9.501573156;false;0.093686963;9.597476633;0.092338406;./experiments_outputs/2022-02-21T18:51:16/jl_0Km2fQ
../instances/G2OPP/Clautiaux42/E00X23;1;0;0;0;1;none;0;0;0;0;0;26;3175;351;26;3175;351;0;26;3175;351;26;3175;351;0.000178529;3201;9967;9228;0.000874839;0.02866506576538086;BUILT_MODEL;MathOptInterface.INFEASIBLE;2.4272170066833496;0.06;NaN;NaN;-1;4.0531158447265625e-6;2.4272239208221436;2.427373919;false;0.094647705;2.524199194;0.093170052;./experiments_outputs/2022-02-21T18:51:16/jl_0l967P
../instances/G2OPP/Clautiaux42/E00N15;5;0;0;0;1;none;1;1;2149;394;2147;25;4060;317;25;4060;317;0;25;4060;317;25;4060;317;0.000199768;4100;12647;13774;0.001017897;0.01216578483581543;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.28670287132263184;0.06;NaN;NaN;-1;3.0994415283203125e-6;0.28670811653137207;0.286856056;false;0.091226975;0.38016805;0.089606436;./experiments_outputs/2022-02-21T18:51:16/jl_0leFZQ
../instances/G2OPP/Clautiaux42/E20X15;1;0;0;0;1;none;0;0;0;0;0;25;3111;346;25;3111;346;0;25;3111;346;25;3111;346;0.000169731;3136;9768;9045;0.000878296;0.02849102020263672;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.6788609027862549;0.04;NaN;NaN;-1;4.0531158447265625e-6;0.6788668632507324;0.679011973;false;0.093832261;0.774911614;0.092350882;./experiments_outputs/2022-02-21T18:51:16/jl_0lv5sU
../instances/G2OPP/Clautiaux42/E00N10;1;0;0;0;1;none;0;0;0;0;0;50;1122;165;50;1122;165;0;50;1122;165;50;1122;165;8.3528e-5;1172;3691;3330;0.000386403;0.005335092544555664;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.03797411918640137;0.03;NaN;NaN;-1;2.86102294921875e-6;0.037979841232299805;0.038128608;false;0.093030959;0.133283616;0.092415222;./experiments_outputs/2022-02-21T18:51:16/jl_0MkEVS
../instances/G2OPP/Clautiaux42/E05N17;6;0;0;0;1;none;1;0;13;13;0;26;3056;337;26;3056;337;0;26;3056;337;26;3056;337;0.000173409;3096;9653;8915;0.000955131;0.02929997444152832;BUILT_MODEL;MathOptInterface.INFEASIBLE;1.2110159397125244;0.04;NaN;NaN;-1;5.9604644775390625e-6;1.2110249996185303;1.211175529;false;0.094272145;1.307631816;0.092811977;./experiments_outputs/2022-02-21T18:51:16/jl_0nc3FU
../instances/G2OPP/Clautiaux42/E05F20;2;0;0;0;1;none;0;0;0;0;0;30;3121;340;30;3121;340;0;30;3121;340;30;3121;340;0.000166565;3151;9808;9080;0.000879889;0.009958982467651367;BUILT_MODEL;MathOptInterface.OPTIMAL;1.6630220413208008;0.04;0.0;0.0;0;0.002543926239013672;1.6655690670013428;1.665713014;false;0.093855433;1.761681294;0.092390825;./experiments_outputs/2022-02-21T18:51:16/jl_0O8qHT
../instances/G2OPP/Clautiaux42/E00N10;7;0;0;0;1;none;1;0;361;227;0;50;1122;165;50;1122;165;0;50;1122;165;50;1122;165;8.2546e-5;1182;3731;3540;0.000438983;0.005898952484130859;BUILT_MODEL;MathOptInterface.INFEASIBLE;0.0518951416015625;0.04;NaN;NaN;-1;2.86102294921875e-6;0.05189990997314453;0.05204269;false;0.092817582;0.14709521;0.092186946;./experiments_outputs/2022-02-21T18:51:16/jl_0p5tQR
../instances/G2OPP/Clautiaux42/E04F15;7;0;0;0;1;none;1;1;1912;338;1494;27;3900;330;27;3900;330;0;27;3900;330;27;3900;330;0.000207784;3940;12176;13098;0.001020525;0.03123784065246582;BUILT_MODEL;MathOptInterface.INFEASIBLE;3.8387608528137207;0.04;NaN;NaN;-1;4.0531158447265625e-6;3.8387668132781982;3.838919343;false;0.095235637;3.936570381;0.093557055;./experiments_outputs/2022-02-21T18:51:16/jl_0qgsrU
../instances/G2OPP/Clautiaux42/E20F15;10;0;0;0;1;none;1;0;5;5;0;32;3063;345;32;3063;345;0;32;3063;345;32;3063;345;0.000175774;3109;9700;8951;0.0009857;0.031119823455810547;BUILT_MODEL;MathOptInterface.INFEASIBLE;40.48449397087097;0.04;NaN;NaN;-1;3.814697265625e-6;40.484501123428345;40.484651615;false;0.094672823;40.581683943;0.093106462;./experiments_outputs/2022-02-21T18:51:16/jl_0qSDTT
