instance_path;solver_seed;rotation;mirror_plates;faithful;round2disc;pricing;hybridization;aggressive_hybridization;hybridizations;first_borns_killed_by_hybridization;aggressive_hybridization_extra_vars;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_value;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/3s;6;0;0;0;1;none;1;1;1699;1238;73;383;1999;272;383;1999;272;0;383;1999;272;383;1999;272;0.00011601;2402;7518;7227;0.000878846;0.008824825286865234;BUILT_MODEL;MathOptInterface.OPTIMAL;0.04123997688293457;2721.0;0.03;2721.0;2721.0;2721;0.0013549327850341797;0.04259800910949707;0.042647651;false;0.094848424;0.139748955;0.09388138;./experiments_outputs/2022-03-04T14:37:48/jl_0RGYHX
../instances/W;7;0;0;0;1;none;1;0;1553;1152;0;383;1926;272;383;1926;272;0;383;1926;272;383;1926;272;0.000113756;2329;7299;6944;0.000887012;0.009054183959960938;BUILT_MODEL;MathOptInterface.OPTIMAL;0.04160809516906738;2721.0;0.03;2721.0;2721.0;2721;0.0013461112976074219;0.04295706748962402;0.043005503;false;0.096494387;0.141791804;0.095597287;./experiments_outputs/2022-03-04T14:37:48/jl_0RykAY
../instances/Hchl3s;2;0;0;0;1;none;0;0;0;0;0;491;71348;3849;491;71348;3849;0;491;71348;3849;491;71348;3849;0.010360885;71839;219376;211641;0.019479284;0.20699095726013184;BUILT_MODEL;MathOptInterface.OPTIMAL;32.98502588272095;12354.027;8.17;12215.0;12215.0;12215;0.03129005432128906;33.01632213592529;33.016379775;false;0.114190789;33.132973201;0.124167964;./experiments_outputs/2022-03-04T14:37:48/jl_0TMc2X
../instances/CHL1;3;0;0;0;1;none;1;0;34148;13893;0;3306;104579;4318;3306;104579;4318;0;3306;104579;4318;3306;104579;4318;0.003825223;107915;328123;337704;0.041921496;0.3492550849914551;BUILT_MODEL;MathOptInterface.OPTIMAL;26.950335025787354;8873.52976;8.81;8699.0;8699.0;8699;0.04596710205078125;26.9963059425354;26.996360386;false;0.104770181;27.103453342;0.14024898;./experiments_outputs/2022-03-04T14:37:48/jl_0VFZKU
../instances/CW3;3;0;0;0;1;none;1;0;24264;19930;0;17473;29523;2202;17473;29523;2202;0;17473;29523;2202;17473;29523;2202;0.00111826;47036;143390;127442;0.021657504;0.1591930389404297;BUILT_MODEL;MathOptInterface.OPTIMAL;1.7735071182250977;5792.5;1.27;5689.0;5689.0;5689;0.02005791664123535;1.7935700416564941;1.793636814;false;0.106830378;1.902979636;0.112161817;./experiments_outputs/2022-03-04T14:37:48/jl_0x8mwX
../instances/CHL2;3;0;0;0;1;none;1;1;3488;2119;28;322;3975;475;322;3975;475;0;322;3975;475;322;3975;475;0.000206281;4307;13416;13916;0.00149255;0.01464390754699707;BUILT_MODEL;MathOptInterface.OPTIMAL;0.13521385192871094;2398.0;0.05;2326.0;2326.0;2326;0.0024149417877197266;0.13763213157653809;0.137675422;false;0.097436641;0.237349696;0.095731829;./experiments_outputs/2022-03-04T14:37:48/jl_0zlGRX
../instances/2s;6;0;0;0;1;none;0;0;0;0;0;159;6068;600;159;6068;600;0;159;6068;600;159;6068;600;0.0003374;6227;19291;17917;0.001674745;0.0179901123046875;BUILT_MODEL;MathOptInterface.OPTIMAL;0.17802906036376953;2793.03333;0.08;2778.0;2778.0;2778;0.0032689571380615234;0.18130183219909668;0.181345445;false;0.09748756;0.28124544;0.095339807;./experiments_outputs/2022-03-04T14:37:48/jl_11QsgY
../instances/okp4;3;0;0;0;1;none;1;1;23147;8718;17561;290;120097;4047;290;120097;4047;0;290;120097;4047;290;120097;4047;0.004114222;120420;365373;372366;0.032352577;0.3854968547821045;BUILT_MODEL;MathOptInterface.OPTIMAL;5.514677047729492;32893.0;5.0;32893.0;32893.0;32893;0.05260777473449707;5.567291021347046;5.567358588;false;0.106419224;5.676283263;0.143948296;./experiments_outputs/2022-03-04T14:37:48/jl_12dfLW
../instances/gcut8;6;0;0;0;1;none;1;0;16252;12771;0;14846;17948;1351;14846;17948;1351;0;14846;17948;1351;14846;17948;1351;0.00076539;32844;99983;87083;0.020928186;0.10574507713317871;BUILT_MODEL;MathOptInterface.OPTIMAL;0.4202759265899658;245758.0;0.3;245758.0;245758.0;245758;0.013784170150756836;0.4340648651123047;0.434136869;false;0.103615988;0.540211306;0.108302041;./experiments_outputs/2022-03-04T14:37:48/jl_12lvcW
../instances/Hchl7s;2;0;0;0;1;none;1;1;593193;194146;201971;28332;740636;16988;28332;740636;16988;0;28332;740636;16988;28332;740636;16988;0.035208075;769008;2324092;2672417;0.264813207;2.7162270545959473;BUILT_MODEL;MathOptInterface.OPTIMAL;660.2796881198883;63283.9674;325.33;63112.0;63112.0;63112;0.321544885635376;660.6012389659882;660.601352694;false;0.193990793;660.797611936;0.608910641;./experiments_outputs/2022-03-04T14:37:48/jl_12tgKY
