instance_name;model_variant;vars;plates
gcut7;only_cut_position;58.6;99.7
gcut7;only_redundant_cut;74.1;100
gcut7;both_reductions;44.0;99.7
gcut8;only_cut_position;70.7;100
gcut8;only_redundant_cut;77.5;100
gcut8;both_reductions;48.5;100
gcut9;only_cut_position;66.9;92.8
gcut9;only_redundant_cut;92.4;100
gcut9;both_reductions;65.0;92.8
gcut10;only_cut_position;0.8;1.8
gcut10;only_redundant_cut;85.5;100
gcut10;both_reductions;0.8;1.8
gcut11;only_cut_position;67.5;100
gcut11;only_redundant_cut;75.4;100
gcut11;both_reductions;43.6;100
gcut12;only_cut_position;57.7;100
gcut12;only_redundant_cut;70.1;100
gcut12;both_reductions;34.5;100
A5;only_cut_position;95.6;100
A5;only_redundant_cut;99.3;100
A5;both_reductions;95.0;100
STS4s;only_cut_position;95.6;100
STS4s;only_redundant_cut;98.3;100
STS4s;both_reductions;94.0;100
Hchl3s;only_cut_position;97.0;100
Hchl3s;only_redundant_cut;99.1;100
Hchl3s;both_reductions;99.1;100
Hchl4s;only_cut_position;97.0;100
Hchl4s;only_redundant_cut;99.1;100
Hchl4s;both_reductions;99.1;100
Hchl6s;only_cut_position;90.3;100
Hchl6s;only_redundant_cut;98.1;100
Hchl6s;both_reductions;88.4;100
Hchl7s;only_cut_position;94.6;100
Hchl7s;only_redundant_cut;98.5;100
Hchl7s;both_reductions;93.1;100
CHL1s;only_cut_position;95.0;100
CHL1s;only_redundant_cut;99.4;100
CHL1s;both_reductions;95.0;100
CU1;only_cut_position;81.6;100
CU1;only_redundant_cut;92.7;100
CU1;both_reductions;74.3;100
CU2;only_cut_position;78.9;100
CU2;only_redundant_cut;92.9;100
CU2;both_reductions;71.8;100
STS4;priced;9.7;
Hchl2;priced;22.0;
CW1;priced;26.7;
CW2;priced;28.9;
CW3;priced;13.5;
CHL1;priced;49.7;
CHL6;priced;4.4;
CHL7;priced;18.6;
okp1;priced;37.7;
okp2;priced;90.4;
okp3;priced;85.3;
okp4;priced;10.0;
okp5;priced;11.5;
gcut2;priced;10.7;
gcut3;priced;5.6;
gcut4;priced;7.6;
gcut5;priced;53.1;
gcut6;priced;13.6;
gcut7;priced;8.2;
gcut8;priced;3.3;
gcut9;priced;30.8;
gcut10;priced;0.5;
gcut11;priced;10.2;
gcut12;priced;3.6;
A5;priced;19.0;
STS4s;priced;4.4;
Hchl3s;priced;39.1;
Hchl4s;priced;75.3;
Hchl6s;priced;88.4;
Hchl7s;priced;93.1;
CHL1s;priced;17.0;
CU1;priced;5.0;
CU2;priced;4.5;
gcut1;complete;39896;4429
gcut1;only_redundant_cut;84.8;100.0
gcut1;only_cut_position;7.3;11.6
