instance_name;pricing_method;qt_pevars_priced_restricted;qt_cmvars_priced_restricted;qt_plates_priced_restricted;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;heuristic_lb;restricted_obj_value;restricted_obj_bound;restricted_lp_stop_reason;restricted_stop_reason;solved_priced_restricted_model;enumeration_time;heuristic_lb_time;restricted_pricing_time;iterative_pricing_time;final_pricing_time;total_pricing_time;final_root_relaxation_time;final_solving_time;obj_value;solution_profit;obj_bound;total_instance_time;build_and_solve_time;run_total_time;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/P4_250_250_25_3;furini;-1;-1;-1;-1;-1;-1;59102.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.268915158;1.722451353;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.437916419;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T04:59:52/jl_hZelpY
../instances/P1_100_200_50_3;none;-1;-1;-1;3148;732440;14747;21491.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.045097987;1.765779564;NaN;NaN;NaN;NaN;125.41;10795.672440829;27192.0;27192.0;27483.0;NaN;10800.120245933533;10800.751926268;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T04:59:52/jl_jX8oOY
../instances/P2_200_100_50_3;none;-1;-1;-1;2394;519731;10925;19166.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.030859145;2.196326018;NaN;NaN;NaN;NaN;54.71;10796.086124532;27453.0;27453.0;27579.0;NaN;10800.217705011368;10800.754412525;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T04:59:52/jl_k9ED1Z
../instances/P1_100_200_25_3;none;-1;-1;-1;1688;583666;13143;21805.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.029108712;0.99263445;NaN;NaN;NaN;NaN;102.11;10796.932011997;25730.0;25730.0;25909.0;NaN;10800.084036827087;10800.568381661;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T04:59:52/jl_kMtfyY
../instances/P1_100_200_50_3;furini;3148;481514;14747;-1;-1;-1;21491.0;27192.0;27536.0;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.046865805;1.694688609;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.821188861;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T04:59:52/jl_lMDXKY
../instances/P3_150_150_50_3;furini;3388;520501;16605;3350;247277;13747;27266.0;32037.0;32037.0;MathOptInterface.OPTIMAL;MathOptInterface.OPTIMAL;true;0.050277619;1.856711309;1137.9752571582794;679.4312767982483;2.9514942169189453;1820.359146975;36.85;65.64550971;32121.0;32121.0;32121.0;1886.968329591;1886.8020820617676;1887.115502381;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T04:59:52/jl_ljLJcW
../instances/P4_250_250_25_3;none;-1;-1;-1;1531;5243154;52379;59102.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.22865927;1.638857777;NaN;NaN;NaN;NaN;7035.73;10781.776319034;59656.0;59656.0;71087.0;NaN;10801.808239221573;10804.886243218;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T04:59:52/jl_sT2UvY
../instances/P2_200_100_25_3;none;-1;-1;-1;1487;267617;7108;17209.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.018652357;1.175871065;NaN;NaN;NaN;NaN;15.95;10798.076052777;25397.0;25397.0;25647.0;NaN;10800.067072868347;10800.470036632;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T04:59:52/jl_yTP97X
../instances/P4_150_150_50_3;none;-1;-1;-1;3428;1084199;18922;24801.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.066155063;1.972968386;NaN;NaN;NaN;NaN;226.49;10794.333721139;30913.0;30913.0;31519.0;NaN;10800.24066400528;10801.07905026;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T04:59:52/jl_yUv3rZ
../instances/P1_100_400_25_3;furini;1688;772683;29942;-1;-1;-1;42454.0;42748.0;9.780333e6;MathOptInterface.OPTIMAL;MathOptInterface.TIME_LIMIT;false;0.135740946;1.017410915;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.317343553;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T04:59:52/jl_yWbNjY
../instances/P4_250_250_25_1;none;-1;-1;-1;1458;4251070;47194;61390.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.201857442;1.912572424;NaN;NaN;NaN;NaN;5570.52;10785.125767342;61950.0;61950.0;75587.0;NaN;10801.343502044678;10804.118080049;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_1iD6RH
../instances/P2_400_100_50_1;none;-1;-1;-1;3251;2467273;25560;37994.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.097333859;3.162489925;NaN;NaN;NaN;NaN;578.9;10789.187392283;54679.0;54679.0;54916.0;NaN;10800.313629865646;10801.918589649;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_2WH1KK
../instances/P2_200_100_25_1;furini;2392;165031;10802;1803;94507;4749;19143.0;21494.0;21494.0;MathOptInterface.OPTIMAL;MathOptInterface.OPTIMAL;true;0.024481744;0.911328077;170.74785017967224;128.47217679023743;1.4355320930480957;300.656112407;1.93;17.637450027;21494.0;21494.0;21494.0;318.679890543;318.6180160045624;318.81323607;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_4KkaFI
../instances/P1_100_200_25_1;furini;2554;214127;10854;2509;118291;8766;24750.0;27251.0;27251.0;MathOptInterface.OPTIMAL;MathOptInterface.OPTIMAL;true;0.03074752;0.992995516;214.43604397773743;111.56275486946106;1.3443360328674316;327.343708067;12.44;51.440796849;27251.0;27251.0;27251.0;379.395558104;379.2229471206665;380.003939687;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_4NeDxG
../instances/P1_100_200_25_1;none;-1;-1;-1;2554;418600;10854;24750.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.020059985;0.996861902;NaN;NaN;NaN;NaN;33.71;163.824703778;27251.0;27251.0;27251.0;166.614832182;166.3795039653778;166.730501488;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_8FpTdK
