instance_name;pricing_method;round2disc;mip_start;purge_disabled;faithful;build_and_solve_time;total_instance_time;final_pricing_time;iterated_pricing_time;restricted_pricing_time;heuristic_lb_time;enumeration_time;total_pricing_time;final_root_relaxation_time;final_solving_time;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;qt_pevars_after_pricing;qt_cmvars_after_pricing;qt_plates_after_pricing;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;run_total_time;solution_profit;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/CW1;none;true;expected;false;false;1.169827938079834;1.18055349;NaN;NaN;NaN;NaN;0.005021744;NaN;0.8;1.106327421;6247;14736;2090;6247;14736;2090;6247;14736;2090;1.277418089;6402.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_6qm3og
../instances/CHL1;furini;true;guaranteed;true;false;99.76176500320435;99.814202935;0.48100805282592773;20.175557136535645;60.97984600067139;0.617057459;0.017363743;81.63659798;7.73;18.060546395;5669;100653;5216;5669;71712;5216;-1;-1;-1;99.92194647;8699.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_7haXfg
../instances/cgcut3;none;true;expected;false;false;0.15364885330200195;0.155556875;NaN;NaN;NaN;NaN;0.000420123;NaN;0.03;0.145277942;666;1789;446;666;1789;446;666;1789;446;0.250596021;1860.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_7lu8hg
../instances/A2s;furini;true;guaranteed;false;false;0.6682989597320557;0.668829151;0.011340856552124023;0.03798508644104004;0.6046328544616699;0.510837388;0.000646967;0.65399718;0.01;0.011112811;1679;3073;648;1679;825;648;170;83;81;0.769617592;3535.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_7q4l5f
../instances/cgcut3;furini;true;guaranteed;true;false;0.7481520175933838;0.749586649;0.006737947463989258;0.032054901123046875;0.6486392021179199;0.528119635;0.000836266;0.687465333;0.02;0.039203314;666;1789;446;666;1072;446;-1;-1;-1;0.849085839;1860.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_91TB6c
../instances/CW1;furini;true;guaranteed;false;false;3.3013319969177246;3.305011606;0.052388906478881836;0.7522280216217041;2.27237606048584;0.563769341;0.005074521;3.077053206;0.12;0.197449028;6247;14736;2090;6247;7175;2090;2940;2537;937;3.407571909;6402.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_9Uqiif
../instances/STS4;none;true;expected;false;false;3.7549991607666016;3.776459047;NaN;NaN;NaN;NaN;0.007019219;NaN;2.88;3.605665761;2946;40897;3048;2946;40897;3048;2946;40897;3048;3.875157178;9700.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_9bLBMe
../instances/CHL2s;furini;true;guaranteed;false;false;0.9515011310577393;0.953327918;0.011561155319213867;0.09642791748046875;0.7031941413879395;0.361598304;0.001002454;0.81122489;0.04;0.1163317;633;3768;678;633;2259;678;539;1862;570;1.054447471;3279.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_9eknDf
../instances/gcut4;none;true;guaranteed;false;false;1.0850279331207275;1.098659755;NaN;NaN;NaN;0.452518234;0.011279932;NaN;0.42;0.557363126;16664;11723;1995;16664;11723;1995;16664;11723;1995;1.196630517;60942.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_9hrube
../instances/STS4s;furini;true;guaranteed;true;false;8.716707944869995;8.722682109;0.1153268814086914;2.719506025314331;5.81016206741333;0.668246561;0.00787044;8.645098223;0.04;0.041506706;2946;40897;3048;2946;5359;3048;-1;-1;-1;8.829039656;9770.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_9kYnjg
../instances/gcut7;furini;true;guaranteed;false;false;0.39888715744018555;0.399564835;0.007351875305175781;0.02484297752380371;0.34430718421936035;0.291223596;0.002103865;0.376535073;0.02;0.017232023;2890;896;521;2890;381;521;627;110;132;0.4997392;238974.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_9l8jCd
../instances/CU2;furini;true;guaranteed;true;false;1.8549950122833252;1.855544479;NaN;0.3841071128845215;1.4361059665679932;0.848188065;0.012378303;1.820475892;NaN;NaN;11287;12178;2065;-1;-1;-1;-1;-1;-1;1.957136646;26100.0;false;false;FOUND_OPTIMUM;./experiments_outputs/2020-08-03T14:56:36/jl_9lQhZe
../instances/2s;furini;true;guaranteed;true;false;1.2319669723510742;1.233787401;0.016282081604003906;0.15580511093139648;1.0243229866027832;0.646120094;0.000605375;1.196455232;0.03;0.032605823;325;6195;741;325;2016;741;-1;-1;-1;1.33439411;2778.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_9vcgOc
../instances/A1;furini;true;guaranteed;true;false;0.697580099105835;0.699101955;0.009699106216430664;0.046257972717285156;0.6288049221038818;0.527012495;0.000586864;0.684798841;0.0;0.010039445;1120;2614;598;1120;695;598;-1;-1;-1;0.799083297;2020.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_A8S7Pf
../instances/CHL5;none;true;expected;false;false;0.08707594871520996;0.088617402;NaN;NaN;NaN;NaN;0.000399557;NaN;0.02;0.056688736;59;1469;276;59;1469;276;59;1469;276;0.182694251;390.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_AZj6vc
../instances/gcut8;none;true;guaranteed;false;false;1.0417330265045166;1.057504015;NaN;NaN;NaN;0.493045781;0.017170308;NaN;0.31;0.455314184;19678;12691;2249;19678;12691;2249;19678;12691;2249;1.155125585;245758.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_AzqvBf
../instances/Hchl9;furini;true;guaranteed;false;false;7.000962018966675;7.004425892;0.0995030403137207;1.7902748584747314;4.935044050216675;0.759147902;0.005906271;6.824911652;0.11;0.136413987;4171;32727;2378;4171;7932;2378;2127;2719;992;7.109507037;5240.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_BEzizd
../instances/2s;furini;true;guaranteed;false;false;1.2287218570709229;1.229643471;0.01581883430480957;0.1559450626373291;1.0260729789733887;0.648405666;0.000588447;1.197880545;0.02;0.027002478;325;6195;741;325;2016;741;94;469;201;1.330963392;2778.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_BR7xNd
../instances/gcut3;none;true;expected;false;false;0.12132596969604492;0.126034591;NaN;NaN;NaN;NaN;0.003384271;NaN;0.09;0.098471023;5345;3415;973;5345;3415;973;5345;3415;973;0.222878483;60241.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_BWC3Yd
../instances/A1;furini;true;guaranteed;false;false;0.6867160797119141;0.687421653;0.009351968765258789;0.04515194892883301;0.6210689544677734;0.52094467;0.000577335;0.675607826;0.0;0.008182512;1120;2614;598;1120;695;598;125;107;86;0.786808589;2020.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_CYjeOc
../instances/gcut1;none;true;expected;false;false;0.17447209358215332;0.188870187;NaN;NaN;NaN;NaN;0.000196107;NaN;0.0;0.006169712;79;75;49;79;75;49;79;75;49;0.740399648;48368.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_CZHvlf
../instances/2;furini;true;guaranteed;true;false;1.2862601280212402;1.287898656;0.016776084899902344;0.16842985153198242;1.0724811553955078;0.638493138;0.001101731;1.257736307;0.0;0.0057359;325;6195;741;325;1543;741;-1;-1;-1;1.388687416;2892.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_CqSQRc
../instances/OF2;furini;true;guaranteed;false;false;0.5244228839874268;0.525118295;0.005808115005493164;0.02329397201538086;0.47246885299682617;0.40561978;0.000334599;0.501601458;0.02;0.020106755;193;1996;415;193;716;415;102;264;163;0.623988243;2690.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_DQQ1Ff
../instances/A1s;furini;true;guaranteed;true;false;0.594951868057251;0.595186043;NaN;0.032377004623413086;0.5604560375213623;0.528437675;0.000571332;0.593006938;NaN;NaN;1120;2614;598;-1;-1;-1;-1;-1;-1;0.694105698;2950.0;false;false;FOUND_OPTIMUM;./experiments_outputs/2020-08-03T14:56:36/jl_DVKAuf
../instances/Hchl8s;furini;true;guaranteed;true;false;228.01491498947144;228.020617261;0.027354955673217773;0.15846800804138184;37.437066078186035;0.615921773;0.001203518;37.622945981;0.13;190.367732182;90;9549;800;90;9549;800;-1;-1;-1;228.133348207;911.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_DeK2Gg
../instances/OF1;none;true;expected;false;false;0.12982892990112305;0.132413607;NaN;NaN;NaN;NaN;0.000981566;NaN;0.05;0.095214336;250;3480;667;250;3480;667;250;3480;667;0.227174125;2737.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_E1xyIe
../instances/CHL7;furini;true;guaranteed;false;false;131.78807497024536;131.8048035;0.42761802673339844;38.6604380607605;89.53919696807861;0.975592819;0.027889133;128.627495316;2.63;3.045687873;9813;135915;6507;9813;32625;6507;6185;20576;4311;131.918710563;16881.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_EHczgg
../instances/gcut6;furini;true;guaranteed;true;false;0.3013639450073242;0.302026258;0.0024509429931640625;0.008008956909179688;0.27944493293762207;0.253741417;0.000641301;0.289931053;0.0;0.009170088;741;359;218;741;112;218;-1;-1;-1;0.401025502;236305.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_EUr9tc
../instances/okp1;furini;true;guaranteed;false;false;12.664350986480713;12.668617626;0.330003023147583;3.397273063659668;8.123256921768188;0.59821806;0.005671783;11.850717533;0.07;0.781503454;734;111369;5447;734;47274;5447;124;6381;781;12.781114815;27589.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_EYW02f
../instances/okp4;furini;true;guaranteed;true;false;33.79843807220459;33.799131366;NaN;14.092566967010498;19.669476985931396;0.554268986;0.014020201;33.762385744;NaN;NaN;673;133112;5930;-1;-1;-1;-1;-1;-1;33.977991205;32893.0;false;false;FOUND_OPTIMUM;./experiments_outputs/2020-08-03T14:56:36/jl_EsQCOd
../instances/STS4;furini;true;guaranteed;true;false;8.573641061782837;8.580991324;0.11828422546386719;2.562581777572632;5.780422210693359;0.695292498;0.007749886;8.46138885;0.07;0.077719336;2946;40897;3048;2946;8143;3048;-1;-1;-1;8.687859126;9700.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_FNZlag
../instances/STS4s;none;true;guaranteed;false;false;3.852241039276123;3.873907565;NaN;NaN;NaN;0.704401253;0.007971127;NaN;2.85;2.997199711;2946;40897;3048;2946;40897;3048;2946;40897;3048;3.972653698;9770.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_FXOymc
../instances/2;furini;true;guaranteed;false;false;1.2869319915771484;1.287632128;0.016282081604003906;0.1657719612121582;1.077138900756836;0.651903207;0.001089164;1.259241514;0.0;0.003382577;325;6195;741;325;1543;741;39;112;72;1.387785015;2892.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_Fhcxve
../instances/CHL1s;furini;true;guaranteed;false;false;48.52272295951843;48.538915788;0.4172360897064209;15.657667875289917;30.09245800971985;0.790557443;0.012033792;46.167551161;1.75;2.203171707;5669;100653;5216;5669;30983;5216;4335;22191;3847;48.643105012;13099.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_G23gUe
../instances/okp1;none;true;guaranteed;false;false;8.991231918334961;9.05309697;NaN;NaN;NaN;0.597065664;0.005601769;NaN;5.88;8.059847682;734;111369;5447;734;111369;5447;734;111369;5447;9.155114746;27589.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_G5rVxc
../instances/gcut11;furini;true;guaranteed;true;false;0.5783429145812988;0.581269726;0.019900083541870117;0.05748581886291504;0.4623279571533203;0.313608515;0.004782148;0.539760971;0.03;0.031306784;3590;2834;751;3590;1351;751;-1;-1;-1;0.680420921;955389.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_GODqwf
../instances/CHL1s;none;true;expected;false;false;12.370192050933838;12.42777607;NaN;NaN;NaN;NaN;0.01162611;NaN;8.35;12.055006531;5669;100653;5216;5669;100653;5216;5669;100653;5216;12.529963026;13099.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_GYafGc
../instances/2s;none;true;expected;false;false;0.213392972946167;0.222688352;NaN;NaN;NaN;NaN;0.000867743;NaN;0.1;0.191708142;325;6195;741;325;6195;741;325;6195;741;0.317644396;2778.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_HFhG6f
../instances/2;none;true;expected;false;false;0.22376108169555664;0.229432975;NaN;NaN;NaN;NaN;0.001086839;NaN;0.1;0.1812829;325;6195;741;325;6195;741;325;6195;741;0.324976814;2892.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_HFuPSd
../instances/CW3;furini;true;guaranteed;true;false;5.944393157958984;5.962544181;0.13407516479492188;1.438586950302124;4.18864893913269;0.806474329;0.021711021;5.761409623;0.09;0.131313863;25331;24457;3406;25331;9176;3406;-1;-1;-1;6.075761241;5689.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_Hl0sBf
../instances/Hchl7s;furini;true;guaranteed;false;false;980.1968359947205;980.222739626;1.9054739475250244;311.702152967453;661.4624741077423;1.093773557;0.094872323;975.070824429;4.15;4.836995555;38217;546737;18970;38217;85169;18970;17012;21403;6602;980.371526572;63112.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_HsU9uc
../instances/STS2;furini;true;guaranteed;false;false;3.772935152053833;3.776612213;0.07711291313171387;0.8233630657196045;2.7193450927734375;0.731321428;0.005052265;3.61989749;0.1;0.113794051;3809;24132;2047;3809;8699;2047;2671;3137;1052;3.88013738;4620.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_I19Jed
../instances/2s;none;true;guaranteed;false;false;0.8671979904174805;0.870945072;NaN;NaN;NaN;0.657022053;0.000564788;NaN;0.11;0.192246234;325;6195;741;325;6195;741;325;6195;741;0.966711133;2778.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_IQZrAg
../instances/A3;furini;true;guaranteed;true;false;2.051445960998535;2.056011187;0.03520512580871582;0.3874800205230713;1.5014638900756836;0.518984058;0.002578181;1.924206598;0.05;0.10299157;3067;10854;1398;3067;4086;1398;-1;-1;-1;2.158205379;5451.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_IWbMFf
../instances/A4;furini;true;guaranteed;true;false;7.588782072067261;7.597527466;0.08893799781799316;1.9466021060943604;4.891687870025635;0.500804183;0.005714173;6.927322914;0.43;0.629933538;1723;29762;2402;1723;13343;2402;-1;-1;-1;7.702289939;6179.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_Immmqg
../instances/3;none;true;expected;false;false;0.1533360481262207;0.155301285;NaN;NaN;NaN;NaN;0.000425757;NaN;0.03;0.145000067;666;1789;446;666;1789;446;666;1789;446;0.250483558;1860.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_In3owg
../instances/gcut2;furini;true;guaranteed;true;false;0.32657718658447266;0.327710932;0.005032062530517578;0.018221139907836914;0.28963685035705566;0.247351332;0.00098815;0.312921351;0.01;0.010849106;1212;1107;376;1212;415;376;-1;-1;-1;0.427102149;59307.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_JOVQmc
../instances/HH;none;true;guaranteed;false;false;1.5611708164215088;1.564126376;NaN;NaN;NaN;0.632151751;0.000833977;NaN;0.08;0.889383241;96;4532;663;96;4532;663;96;4532;663;1.662896352;11586.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_JOla8f
../instances/cgcut3;furini;true;guaranteed;false;false;0.7375211715698242;0.738676859;0.006518125534057617;0.0313568115234375;0.6393601894378662;0.520596328;0.000833783;0.677268324;0.02;0.03752044;666;1789;446;666;1072;446;455;776;311;0.838073335;1860.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_JY1Lcg
../instances/CHL6;furini;true;guaranteed;true;false;101.40378284454346;101.416681515;0.503385066986084;31.278491020202637;69.47998285293579;0.83753793;0.018155856;101.262102119;0.09;0.111523355;6948;144498;6625;6948;13087;6625;-1;-1;-1;101.525538151;16869.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_JbCUxd
../instances/gcut12;furini;true;guaranteed;true;false;1.080617904663086;1.089633424;0.05358695983886719;0.19306516647338867;0.7748308181762695;0.510022338;0.019140285;1.021542184;0.03;0.035497625;15301;7280;1647;15301;1661;1647;-1;-1;-1;1.190930067;970744.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_K7U2kd
../instances/gcut12;none;true;expected;false;false;0.4121439456939697;0.429460861;NaN;NaN;NaN;NaN;0.018420032;NaN;0.25;0.348836276;15301;7280;1647;15301;7280;1647;15301;7280;1647;0.525229367;970744.0;false;false;BUILT_MODEL;./experiments_outputs/2020-08-03T14:56:36/jl_K92zse
