instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;pricing_time;total_instance_time;qt_piece_types;qt_cmvars_pre_pricing;qt_plates_pre_pricing;qt_cmvars_pre_purge;qt_plates_pre_purge;qt_cmvars_pos_purge;qt_plates_pos_purge;finished;datafile
../instances/OF1;none;false;false;NaN;0.189284413;10;34383;2098;34383;2098;34383;2098;true;./experiments_outputs/2020-05-29T21:37:37/jl_KMrECw
../instances/W;none;true;false;NaN;0.157456378;20;33331;1860;33331;1860;33331;1860;true;./experiments_outputs/2020-05-29T21:37:37/jl_KoqW1g
../instances/Hchl3s;furini;false;false;192.293376262;195.896610562;10;506117;9670;212186;9670;199722;9231;true;./experiments_outputs/2020-05-30T23:26:05/jl_KrrQzv
../instances/gcut10;none;false;true;NaN;15.846199141;20;2387311;138062;2387311;138062;2387311;138062;true;./experiments_outputs/2020-05-29T21:37:37/jl_Kvwn94
../instances/CHL5;none;true;true;NaN;0.045043191;10;2848;345;2848;345;2848;345;true;./experiments_outputs/2020-05-29T21:37:37/jl_KzQj09
../instances/gcut1;none;true;false;NaN;0.019103971;10;2897;515;2897;515;2897;515;true;./experiments_outputs/2020-05-29T21:37:37/jl_L5otk8
../instances/2;furini;false;false;5.133485245;5.388401827;10;48855;2017;5754;2017;264;149;true;./experiments_outputs/2020-05-30T23:26:05/jl_LLuqXu
../instances/gcut1;none;false;false;NaN;0.018336094;10;2864;515;2864;515;2864;515;true;./experiments_outputs/2020-05-29T21:37:37/jl_LRKcFA
../instances/okp4;none;true;false;NaN;1.800367595;33;271671;9049;271671;9049;271671;9049;true;./experiments_outputs/2020-05-29T21:37:37/jl_LYa3dY
../instances/STS2s;none;true;false;NaN;0.557468445;30;106707;3383;106707;3383;106707;3383;true;./experiments_outputs/2020-05-29T21:37:37/jl_Lv73j0
../instances/OF2;furini;false;false;1.871323646;2.040939434;10;31632;2110;9124;2110;3155;772;true;./experiments_outputs/2020-05-30T23:26:05/jl_M57k49
../instances/CHL2;none;true;false;NaN;0.251720299;10;49247;2348;49247;2348;49247;2348;true;./experiments_outputs/2020-05-29T21:37:37/jl_MOHiMC
../instances/2;none;true;false;NaN;0.231330325;10;49730;2017;49730;2017;49730;2017;true;./experiments_outputs/2020-05-29T21:37:37/jl_MYbNTg
../instances/gcut9;none;true;true;NaN;2.925976096;10;474350;38936;474350;38936;474350;38936;true;./experiments_outputs/2020-05-29T21:37:37/jl_MtX8cB
../instances/Hchl8s;none;false;false;NaN;0.094981934;10;13149;896;13149;896;13149;896;true;./experiments_outputs/2020-05-29T21:37:37/jl_MyXfVE
../instances/OF2;none;true;true;NaN;0.174313469;10;37251;2110;37251;2110;37251;2110;true;./experiments_outputs/2020-05-29T21:37:37/jl_N4QF8r
../instances/okp1;none;false;false;NaN;1.731831951;15;250956;7947;250956;7947;250956;7947;true;./experiments_outputs/2020-05-29T21:37:37/jl_NN45hI
../instances/CW1;none;true;true;NaN;2.48593062;25;409979;8407;409979;8407;409979;8407;true;./experiments_outputs/2020-05-29T21:37:37/jl_NU8Mya
../instances/2;none;false;true;NaN;0.262785397;10;51585;2017;51585;2017;51585;2017;true;./experiments_outputs/2020-05-29T21:37:37/jl_NcpTnW
../instances/CW2;none;false;true;NaN;5.250717987;35;832471;14664;832471;14664;832471;14664;true;./experiments_outputs/2020-05-29T21:37:37/jl_NtiGmc
